Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Afghanistan,2020-02-24,2020-03-22,2020-03-14,2020-03-24,2020-03-27,0.17417881150581996,0.08333333333333333,8.953005951124329,3.3720823906404545,5.27328049037,1.9631703231819209,0.4981158910413298,15.8255221465,1.962412494383544,2.9380144307200005,1.3933449285255042,1.7700298313053582,70.61433288141315,3.56,0.0,34.0,191.0,,1484.0,6.0,0.0,59.0,48.0,98.0,1.0,5.0,7.0,20.0,4.0,13.0,3.0,89.0,5.0,92.0,30.0,1809.0,5.0,0.085,,,8.0,2.84,2020-03-14,86.0,5.0,52.8,19.5,2.38,36.7,12.7,-0.1,638.0,104.3,52.8,4.82,5.5,19.0,-0.0,-10.0,-8.0,82.0,55,74.0,84.0
Albania,2020-03-09,2020-03-11,2020-03-10,2020-03-16,2020-03-23,0.06869941648845283,0.13005050505050506,27.01678431488417,13.225389824975467,4.57159223674,3.2514253176738404,1.1222773720687502,2.61414891471,8.372170760252345,0.051631681074299995,0.0196583472833512,0.9806906954044156,12.241503672929234,19.09,62.0,72.0,1094.0,0.0,1102.0,55.0,10.0,265.0,263.0,676.0,4.0,18.0,74.0,55.0,0.0,86.0,17.0,234.0,27.0,192.0,187.0,2305.0,28.88,0.28,,45.0,,11.998,2020-03-11,99.0,5.0,79.0,34.3,0.28,13.0,7.1,-3.3,15.0,10.8,79.0,1.53,21.7,2.0,1.0,-5.0,-0.0,71.0,69,70.0,76.0
Algeria,2020-02-25,2020-03-12,2020-03-04,2020-03-16,2020-03-21,0.15858819388282344,0.2285776144508069,17.005475868192548,6.4817290236089695,8.614000207770001,3.4754165631311063,0.9263084281699808,3.80994387788,8.204560893875005,0.390350862801,0.1245101074787528,1.1881415490933014,15.996728004419882,10.92,6.0,13.0,404.0,0.0,1675.0,28.0,8.0,213.0,84.0,267.0,7.0,4.0,18.0,73.0,8.0,129.0,10.0,267.0,15.0,386.0,137.0,2945.0,19.0,,3204.0,599.0,825.0,18.3,2020-03-12,99.0,5.0,77.5,28.9,1.52,20.0,4.4,-0.9,112.0,17.6,77.5,2.59,27.4,16.0,8.0,-4.0,-0.0,72.0,56,64.0,76.0
Andorra,2020-03-02,2020-03-22,2020-03-17,2020-03-19,2020-03-22,0.08277403736551185,0.3452380952380952,13.784687901664267,17.8792785128085,4.38188902095,4.771666828410284,1.5613892082297691,2.50750509682,13.608032063903725,0.334844834957,0.0021593722787542373,0.34055063975232264,18.236080130387922,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-16,,,83.0,46.2,-0.06,7.0,7.7,0.0,,3.5,83.0,1.43,25.6,14.0,-1.0,-3.0,-6.0,82.0,62,77.0,79.0
Angola,2020-03-20,2020-03-29,,,,0.13214285714285712,0.0,4.4802996237205,3.01163219150252,2.73306459562,1.7119807528318358,1.4396947189538127,20.5279991649,1.8391048167521904,9.101146506980001,6.213008176334766,5.597667213494106,94.47100697498459,4.7,88.0,12.0,213.0,0.0,833.0,2.0,38.0,105.0,133.0,23.0,3.0,5.0,49.0,68.0,0.0,573.0,2.0,125.0,0.0,194.0,16.0,2057.0,8.0,0.0,,,,2.149,2020-03-24,79.0,5.0,61.3,15.9,3.43,42.7,8.5,-0.2,241.0,62.3,61.3,5.96,8.2,4.0,,,-5.0,89.0,80,,
Antigua and Barbuda,2020-03-13,,,,,0.04761904761904764,,15.95782501437371,12.103094664375137,12.2100551045,2.603435069028883,1.3558309287718358,4.226786898419999,6.499621202581247,1.86399957088,0.5476425925425285,3.4164009636795547,35.4295039025085,6.75,112.0,75.0,747.0,0.0,667.0,10.0,84.0,179.0,342.0,228.0,15.0,8.0,29.0,22.0,17.0,41.0,24.0,283.0,4.0,228.0,63.0,1683.0,38.0,1.11,5.0,6.0,2.0,27.647,,,,77.3,32.7,1.18,15.4,5.8,2.1,,11.1,77.3,1.97,18.9,,,,,,73,,
Argentina,2020-03-03,2020-03-08,2020-03-08,2020-03-16,2020-03-20,0.11869613016529401,0.19122693703166627,15.781373121370766,13.962664971703555,6.642161183160001,4.14033107123862,1.65516303812253,4.99229612321,9.060723952650477,0.9586674125839999,0.2522617304929037,0.9016274716607292,57.73190480669795,15.81,93.0,69.0,971.0,0.0,1088.0,56.0,13.0,95.0,612.0,205.0,,17.0,2.0,8.0,2.0,91.0,15.0,457.0,3.0,359.0,56.0,2267.0,50.0,,,,4500.0,39.6,2020-03-16,99.0,5.0,77.8,32.4,0.86,16.0,7.4,-0.1,39.0,9.0,77.8,2.21,28.3,13.0,8.0,-0.0,8.0,68.0,63,68.0,76.0
Armenia,2020-03-01,2020-03-26,2020-03-14,2020-03-16,2020-03-19,0.12563451876828682,0.5138888888888888,25.348767139565282,14.673964438415773,8.057546359439996,3.6267841005570345,2.7321589914412368,2.8638792959500003,6.0490862699879,0.49033951052,0.13739736051463922,1.2124862595106918,15.685065093319604,17.04,14.0,109.0,790.0,0.0,1186.0,45.0,11.0,156.0,260.0,347.0,7.0,18.0,14.0,27.0,1.0,77.0,43.0,326.0,19.0,220.0,198.0,2288.0,41.8,0.64,1011.0,784.0,419.0,28.99,2020-03-02,99.0,5.0,75.6,36.6,-0.3,11.9,9.5,-5.5,26.0,11.5,75.6,1.65,20.2,1.0,-12.0,-14.0,-24.0,86.0,61,74.0,76.0
Australia,2020-01-26,2020-03-01,2020-03-03,2020-03-10,2020-03-14,0.08256010573335082,0.1366310892172961,12.176800097073126,17.040098242221177,5.38273400852,5.335422654582157,0.9595096515619008,1.5939993631300002,11.214323883829598,0.135918807478,0.009707508862034036,0.22220372839918348,9.045839581629306,12.55,131.0,126.0,1034.0,0.0,771.0,31.0,40.0,110.0,496.0,318.0,14.0,23.0,44.0,9.0,7.0,87.0,34.0,384.0,56.0,555.0,75.0,2277.0,37.9,,4422.0,1591.0,3881.0,35.874,2020-03-24,,,82.7,37.5,1.4,12.4,6.9,8.1,6.0,3.1,82.7,1.74,29.0,58.0,21.0,14.0,23.0,61.0,26,63.0,70.0
Austria,2020-02-25,2020-03-12,2020-03-01,2020-03-06,2020-03-08,0.06446018343899378,0.18348926582531075,17.256516139744186,17.358557884953527,6.49927615393,4.348961969402323,2.034187747258688,1.18868617914,10.396912676016443,0.203517454892,0.002606319506469523,0.2850681603669321,4.5746519815209785,14.15,208.0,388.0,1153.0,0.0,914.0,58.0,30.0,118.0,370.0,299.0,0.0,8.0,51.0,8.0,8.0,108.0,27.0,462.0,31.0,529.0,76.0,2540.0,76.47,,7767.0,2518.0,1761.0,51.441,2020-03-16,90.0,31.0,81.9,44.5,0.35,9.5,9.8,3.6,5.0,3.3,81.9,1.49,20.1,20.0,15.0,10.0,4.0,72.0,56,61.0,66.0
Azerbaijan,2020-03-01,2020-03-13,2020-03-10,2020-03-21,2020-03-26,0.1613468755602848,0.09722222222222221,25.684541840071244,9.846049068282158,6.1477354812300025,2.680938479293112,2.7150106036948616,7.99476044118,4.7139562797215895,1.03609704782,0.12811881347460186,1.3827942025602569,40.330210194091066,15.8,140.0,81.0,507.0,0.0,1784.0,34.0,6.0,100.0,182.0,197.0,2.0,7.0,3.0,5.0,1.0,137.0,19.0,212.0,28.0,75.0,91.0,2596.0,46.88,0.53,,1982.0,,34.466,2020-03-03,98.0,5.0,73.6,32.6,0.77,14.5,7.0,0.0,26.0,21.3,73.6,1.88,19.9,2.0,-7.0,-18.0,-10.0,73.0,61,70.0,81.0
Bahamas,2020-03-16,2020-04-01,2020-03-27,,,0.16926406926406926,0.0,16.765925784734574,12.88532199618623,10.4597893362,2.567419470053126,1.5165273032421067,3.929844928380001,5.7566483664008175,4.73660525451,0.1542295399054738,0.8434606527178499,33.12693464517819,6.28,119.0,58.0,604.0,0.0,438.0,27.0,51.0,182.0,334.0,122.0,44.0,11.0,42.0,5.0,9.0,29.0,17.0,354.0,7.0,129.0,62.0,1439.0,29.0,0.26,,,,19.373,2020-03-16,,,73.3,32.8,0.75,14.8,7.4,0.0,70.0,10.6,73.3,1.92,31.6,-0.0,-11.0,,-16.0,92.0,76,87.0,
Bahrain,2020-02-24,2020-03-16,2020-02-25,2020-03-04,2020-03-10,0.056065603029970545,0.0,10.202329611148082,5.986385478305866,14.932370164000002,3.7902993582251625,1.087662516030088,2.84971387762,12.07942013694466,0.456636914736,0.05100195762629632,1.3852299355010116,19.135446449778424,9.71,,,,,,,,,,,,,,,,,,,,,,,20.3,,201.0,58.0,67.0,9.257,2020-02-26,,,79.4,32.9,2.08,12.7,2.8,10.6,14.0,8.3,79.4,1.69,29.8,2.0,1.0,-7.0,-19.0,76.0,55,56.0,64.0
Bangladesh,2020-03-08,2020-03-18,2020-03-17,2020-03-31,,0.026251704385457875,0.033333333333333326,15.819273543460875,5.921303979274027,5.57306562826,5.1619781071739625,1.8100601532650875,9.5822912484,6.261712141626037,1.2642626640899999,1.121898870280804,2.778965220936777,33.65360558006273,10.0,0.0,8.0,123.0,0.0,1948.0,12.0,43.0,34.0,18.0,40.0,1.0,2.0,7.0,64.0,26.0,100.0,1.0,74.0,6.0,178.0,32.0,2473.0,7.7,0.044000000000000004,2615.0,850.0,1200.0,5.268,2020-03-17,98.0,5.0,74.2,27.9,0.98,18.1,5.5,-3.0,173.0,28.3,74.2,2.11,3.6,9.0,-0.0,-14.0,-1.0,78.0,68,77.0,91.0
Barbados,2020-03-17,,2020-03-22,,,0.1226347182229535,,16.907563919182543,16.326971167909438,13.207041150000002,2.623922180994288,1.188147652032054,4.268234937230002,6.972037948793505,1.36301684902,0.2663353262908215,0.9192458533042313,38.75791362773568,6.05,65.0,67.0,700.0,0.0,889.0,34.0,82.0,112.0,328.0,182.0,52.0,6.0,69.0,73.0,17.0,99.0,17.0,468.0,16.0,258.0,61.0,2196.0,58.0,0.35,18.0,12.0,19.0,24.886,2020-03-19,,,76.0,39.5,0.23,11.3,8.8,-0.3,27.0,9.6,76.0,1.68,23.1,2.0,-3.0,,,,77,82.0,
Belarus,2020-02-28,2020-03-31,2020-03-12,2020-03-18,2020-03-30,0.25907006208250033,1.0,33.62134641643093,11.942706432404563,3.1437860276,2.3361433270921,2.288203490345284,1.49394082664,5.9005479145728055,0.9619850199259999,0.07465118569656493,0.4109287910598412,8.313031531800863,17.78,217.0,176.0,807.0,0.0,939.0,56.0,32.0,92.0,376.0,144.0,11.0,23.0,15.0,0.0,1.0,328.0,26.0,303.0,28.0,403.0,121.0,2482.0,110.5,0.55,6428.0,2590.0,2466.0,40.772,,97.0,5.0,73.8,40.9,-0.27,9.5,13.1,0.7,2.0,3.5,73.8,1.5,24.5,,,,,91.0,59,72.0,78.0
Belgium,2020-02-04,2020-03-11,2020-03-03,2020-03-05,2020-03-06,0.1340368439021252,0.23373721068789285,14.292107007974016,18.184271261748787,5.15137584894,5.179322809000662,1.5641231101452764,2.74251065851,11.069344437868097,0.18789721621599997,0.0008862499909234252,0.36939990961370794,19.83889253429312,18.83,174.0,360.0,1067.0,0.0,983.0,52.0,45.0,104.0,247.0,349.0,,14.0,18.0,22.0,7.0,165.0,9.0,513.0,42.0,533.0,131.0,2701.0,62.29,,5571.0,1541.0,2281.0,33.234,2020-03-13,,,81.4,41.6,0.63,11.1,9.8,4.8,5.0,3.3,81.4,1.77,22.1,38.0,10.0,8.0,2.0,71.0,35,63.0,65.0
Belize,2020-03-23,,,,,0.08333333333333333,,9.853445294058435,7.605281650189152,10.0057773997,3.328407890864712,1.7786299201313849,5.73515805992,4.952029947382608,4.87262236695,0.4560969178076165,2.3829362362753668,43.04624140378663,6.77,82.0,141.0,495.0,0.0,1020.0,16.0,20.0,136.0,213.0,102.0,28.0,2.0,33.0,123.0,2.0,27.0,16.0,412.0,7.0,276.0,40.0,2204.0,13.0,0.6,23.0,4.0,10.0,11.262,2020-03-23,98.0,5.0,75.3,23.9,1.72,22.0,4.1,-1.0,36.0,11.2,75.3,2.7,24.1,-0.0,,,,,83,,
Benin,2020-03-16,,2020-04-01,,,0.1574074074074074,,4.222493223082953,2.893636362474993,4.33492038066,1.61961642929329,0.8109565014480578,23.526729517899998,1.987969197448732,3.9797374386800004,13.794076189630994,4.456479556740223,110.79073073799697,2.42,97.0,5.0,137.0,0.0,1018.0,3.0,29.0,42.0,66.0,29.0,3.0,4.0,103.0,91.0,56.0,797.0,1.0,79.0,28.0,256.0,47.0,2619.0,5.0,0.11,81.0,90.0,20.0,1.5719999999999998,2020-03-30,89.0,5.0,61.4,17.0,3.4,42.1,8.4,0.3,397.0,58.7,61.4,5.53,9.6,14.0,-2.0,,,,76,92.0,
Bhutan,2020-03-06,,,,,0.09722222222222221,,11.605897117863787,5.886293023253303,6.68299654232,5.281997262559325,2.23023741946127,11.048947847400001,6.687138020187838,1.79665773176,1.1035868304330236,4.422313970947154,31.286347259216924,7.12,,,,,,,,,,,,,,,,,,,,,,,17.4,0.13,6.0,13.0,3.0,3.715,2020-03-18,99.0,5.0,72.1,29.1,1.02,16.3,6.3,0.0,183.0,27.0,72.1,1.82,6.4,12.0,,,,,66,,
Bolivia,2020-03-11,2020-03-29,2020-03-14,2020-03-27,2020-03-31,0.12544409482118868,0.9523809523809524,9.990454671488184,9.416817266956732,6.6746622639799975,3.1220141467526883,1.818706029570669,11.209534449500001,4.959810309819403,1.97844712628,1.2565409746745406,3.1642941778130336,65.87884212912405,6.01,37.0,43.0,472.0,0.0,1019.0,26.0,5.0,114.0,318.0,77.0,6.0,4.0,19.0,43.0,4.0,167.0,13.0,268.0,37.0,125.0,30.0,1881.0,11.0,0.29,1807.0,500.0,1270.0,16.111,2020-03-12,99.0,5.0,70.4,25.3,1.44,20.8,6.3,-0.3,155.0,32.2,70.4,2.48,20.2,1.0,-2.0,-15.0,-17.0,89.0,71,74.0,87.0
Bosnia and Herzegovina,2020-03-05,2020-03-21,2020-03-12,2020-03-19,2020-03-22,0.14587433318966062,0.2745726495726496,26.853919987565273,17.34197300833541,8.03717375119,3.865477493192525,1.4262493754838608,1.16335418251,6.5128839348744325,0.278129857293,0.08192864811508332,0.6819669342289006,7.301671128250819,22.57,254.0,36.0,592.0,0.0,1388.0,19.0,12.0,124.0,198.0,319.0,13.0,7.0,20.0,51.0,68.0,148.0,55.0,198.0,17.0,193.0,148.0,2677.0,34.99,0.13,275.0,115.0,54.0,20.003,2020-03-12,95.0,5.0,77.5,43.3,-0.19,8.6,10.2,-0.4,10.0,5.2,77.5,1.33,17.9,7.0,-0.0,-7.0,-9.0,81.0,65,72.0,79.0
Botswana,2020-03-30,2020-03-31,,,,0.11111111111111109,0.0,6.7986514339286455,4.9107576391009236,6.2899722778000005,3.155856575369161,0.7563479888204512,8.22173621023,3.2031371456416267,32.876194275900005,0.5223078625400456,2.2328938838785355,59.989488082106206,6.07,73.0,49.0,380.0,0.0,1048.0,5.0,9.0,48.0,88.0,219.0,21.0,10.0,23.0,27.0,16.0,125.0,12.0,278.0,2.0,257.0,30.0,1960.0,18.0,0.15,40.0,18.0,18.0,3.688,2020-03-20,98.0,5.0,64.8,25.7,1.48,20.9,9.2,2.9,144.0,26.8,64.8,2.45,18.9,-10.0,,,-11.0,91.0,90,,
Brazil,2020-02-26,2020-03-17,2020-03-06,2020-03-12,2020-03-13,0.15492481763199684,0.23484090092616308,13.653026569039849,9.95312896058096,6.46067730041,3.489214878527984,1.7699791258536988,4.6439217385200005,7.503939607958548,1.6006130559499998,0.8853843530091557,1.9060979043169441,40.83331423777864,12.55,93.0,99.0,858.0,0.0,948.0,29.0,15.0,112.0,465.0,243.0,0.0,7.0,47.0,132.0,1.0,116.0,9.0,411.0,5.0,468.0,36.0,2391.0,22.0,,70298.0,25013.0,18236.0,21.499000000000002,2020-03-12,99.0,5.0,74.7,33.2,0.67,13.6,6.9,-0.1,60.0,15.9,74.7,1.73,22.1,15.0,6.0,-0.0,-5.0,77.0,57,66.0,72.0
Brunei,2020-03-09,2020-03-28,2020-03-11,2020-03-15,2020-03-24,0.02465564197394125,0.0,13.606625123797429,15.269343918361713,11.479677450799999,3.2658904319870925,0.9978798580278422,2.78348269334,8.77601907376248,0.846325562951,0.22548892419022715,0.7934499843820666,40.39039480634783,15.31,,,,,,,,,,,,,,,,,,,,,,,27.4,0.24,,,,17.701,2020-03-30,99.0,5.0,77.9,31.1,1.51,16.5,3.8,2.3,31.0,8.8,77.9,1.75,14.1,21.0,19.0,15.0,2.0,88.0,69,71.0,75.0
Bulgaria,2020-03-08,2020-03-11,2020-03-13,2020-03-15,2020-03-20,0.07743090322637065,0.28769841269841273,37.3780552856482,14.802908428225422,5.113543861779999,3.666356508884166,2.0648419580320927,1.80323488643,5.934753213533863,0.19578704509300002,0.011105740539419687,0.3282740101154005,12.940748090080008,19.06,208.0,139.0,695.0,0.0,1014.0,33.0,16.0,100.0,244.0,248.0,5.0,15.0,36.0,20.0,69.0,51.0,12.0,263.0,8.0,297.0,49.0,2133.0,68.16,,5859.0,1408.0,1511.0,39.879,2020-03-16,96.0,5.0,75.0,43.7,-0.65,8.3,14.6,-0.3,10.0,8.1,75.0,1.49,25.0,8.0,3.0,1.0,5.0,71.0,68,73.0,75.0
Burkina Faso,2020-03-10,2020-03-18,2020-03-16,2020-03-21,2020-03-24,0.08221397530662851,0.10377585377585379,3.9870491399082537,2.7336927209453363,3.88524531172,1.1825531899444983,0.581171279568199,20.4036845143,1.5235044303329797,3.68104185981,19.267771417593192,5.237838812352595,129.558520700646,1.82,137.0,7.0,152.0,0.0,1719.0,8.0,14.0,8.0,63.0,55.0,2.0,5.0,200.0,132.0,3.0,26.0,1.0,96.0,4.0,229.0,11.0,2567.0,4.0,0.053,36.0,10.0,58.0,0.6,2020-03-16,98.0,5.0,62.7,17.9,2.66,35.1,8.2,-0.6,320.0,52.0,62.7,4.51,5.6,6.0,-0.0,-5.0,-2.0,78.0,70,76.0,81.0
Burma,2020-03-27,2020-03-31,2020-03-29,,,0.17579365079365075,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,87,89.0,
Burundi,2020-03-31,,,,,0.25,,4.516046000976475,2.9617926285419767,2.3330165601700004,1.5998408429576203,1.0511709031422314,26.851420288000003,1.4381350477274844,9.62488188124,12.420215979561345,4.8773418740702175,122.77749259008988,3.3,,,,,,,,,,,,,,,,,,,,,,,7.9,0.03,,,,0.5,,93.0,5.0,66.7,17.7,2.85,36.5,6.2,-0.8,548.0,40.1,66.7,5.28,5.4,,,,,,91,,
Cabo Verde,2020-03-20,2020-03-24,,,,0.033333333333333326,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,80,,
Cambodia,2020-01-27,,2020-03-17,2020-03-20,2020-03-29,0.017850815428667215,,11.368198106479742,6.8490353908029284,4.7197632101,3.4080265507199936,5.351597917550882,14.014568230499995,4.876681446848793,3.13289189828,1.7887457353602367,2.71843877130758,98.92901175887363,12.38,70.0,5.0,200.0,0.0,1633.0,5.0,88.0,32.0,88.0,10.0,9.0,4.0,92.0,46.0,7.0,84.0,2.0,207.0,2.0,65.0,18.0,2272.0,8.33,0.059000000000000004,,,,1.682,2020-03-16,90.0,5.0,65.9,26.4,1.4,21.3,7.3,-0.3,160.0,43.7,65.9,2.39,3.9,49.0,-1.0,-4.0,,,27,77.0,80.0
Cameroon,2020-03-06,2020-03-25,2020-03-17,2020-03-23,2020-03-29,0.23942005719100443,0.36111111111111116,4.877371551563146,3.512043223118462,3.7712388945999997,1.8436000613596564,1.137563717158632,16.971400943499994,2.2131971311251286,12.294106805,14.293772666981006,3.202733362804739,119.5113103713414,2.69,81.0,8.0,115.0,0.0,1089.0,1.0,29.0,186.0,53.0,22.0,3.0,3.0,127.0,189.0,35.0,431.0,2.0,85.0,17.0,220.0,73.0,2538.0,13.0,0.04,83.0,151.0,22.0,0.898,2020-03-18,74.0,5.0,62.3,18.5,2.78,36.3,8.1,-0.3,529.0,51.5,62.3,4.66,11.4,12.0,1.0,-5.0,-7.0,85.0,66,77.0,83.0
Canada,2020-01-26,2020-03-09,2020-02-29,2020-03-13,2020-03-15,0.1525860477916202,0.17140623951145273,13.685415734443824,18.32176644158216,6.37947098768,4.4251687286158985,1.2946398525453078,1.96284557823,11.740589908222232,0.27603565207,0.0016319134213133822,0.29406428591489137,11.640901932914307,17.86,110.0,277.0,887.0,0.0,910.0,54.0,37.0,127.0,335.0,183.0,18.0,1.0,92.0,110.0,10.0,106.0,17.0,433.0,41.0,556.0,76.0,2605.0,27.0,0.13,7489.0,3070.0,3186.0,26.101999999999997,2020-03-16,,,83.4,41.8,0.81,10.2,7.9,5.6,10.0,4.3,83.4,1.57,29.4,50.0,16.0,3.0,7.0,69.0,26,60.0,73.0
Central African Republic,2020-03-15,,,,,0.0,,5.090088596315328,2.234884366767504,2.15427673227,1.4748464596065216,0.6331605464945665,23.9985210517,1.1452207322830292,19.5401821556,8.129738681925486,3.9644922345566136,161.19582089418213,3.97,19.0,26.0,260.0,0.0,315.0,2.0,15.0,67.0,175.0,31.0,1.0,12.0,81.0,80.0,0.0,692.0,3.0,60.0,0.0,169.0,11.0,1498.0,10.0,0.087,9.0,8.0,0.0,0.629,2020-03-30,74.0,5.0,54.2,20.0,2.09,33.2,12.3,0.0,829.0,80.6,54.2,4.14,7.5,15.0,,,,,75,,
