Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Chad,2020-03-19,,,,,0.20158730158730157,,3.339178005623624,1.905528254610112,2.8065154016000005,1.132368502403488,0.6983604488654341,33.4580942138,1.3510390742288705,7.455803897439999,6.629160778882222,5.8529470095405305,150.91815973642684,1.13,6.0,32.0,290.0,0.0,1162.0,1.0,20.0,13.0,126.0,85.0,1.0,25.0,232.0,85.0,0.0,133.0,0.0,87.0,0.0,76.0,4.0,1800.0,4.0,0.008,18.0,13.0,2.0,0.475,2020-03-20,70.0,5.0,58.3,16.1,3.18,41.7,10.0,-0.1,1140.0,68.6,58.3,5.68,6.1,1.0,,,,,79,,
Chile,2020-03-03,2020-03-22,2020-03-10,2020-03-14,2020-03-16,0.13320086887149266,0.24464285714285713,12.219116829647806,14.273118431428196,6.59386331875,3.5948369715999036,3.0178705785122,2.4773953452,12.550732689580505,0.808451258927,0.26998064631725993,0.7380699098175479,19.513353948838734,9.4,96.0,83.0,744.0,0.0,1179.0,38.0,24.0,77.0,447.0,150.0,5.0,2.0,23.0,35.0,2.0,129.0,11.0,460.0,14.0,170.0,66.0,2267.0,22.0,0.35,7137.0,1931.0,2322.0,10.8,2020-03-16,93.0,5.0,79.4,35.5,0.71,13.1,6.5,0.3,13.0,6.2,79.4,1.77,28.0,13.0,6.0,2.0,-6.0,82.0,63,70.0,74.0
China,2020-01-22,2020-01-22,2020-01-22,2020-01-22,2020-01-22,0.007654512605182343,0.0012830351505485349,22.938578525403923,17.00119376527908,5.825682454380001,6.241830684938622,1.2253325633227063,2.0014798914700003,6.711278577085579,0.8998351996389999,0.4775126788139568,0.5174930960540415,13.660037522324073,20.97,91.0,42.0,724.0,1.0,1479.0,93.0,54.0,109.0,472.0,50.0,2.0,12.0,96.0,13.0,3.0,152.0,2.0,72.0,20.0,181.0,254.0,2473.0,42.0,0.0,293021.0,53471.0,194634.0,17.855,2020-02-21,99.0,5.0,76.1,38.4,0.32,11.6,8.2,-0.4,29.0,11.4,76.1,1.6,6.2,30.0,30.0,30.0,30.0,22.0,22,22.0,22.0
Colombia,2020-03-06,2020-03-22,2020-03-13,2020-03-16,2020-03-19,0.13672468698123233,0.23002450980392156,11.670715018176107,10.405090546367244,6.54049991306,3.8346957823551233,0.9453784770266612,3.7130616661199998,7.300055884435812,1.38494141845,0.5860031020563884,1.032997700609815,15.327841795215251,8.38,61.0,27.0,548.0,0.0,949.0,46.0,15.0,290.0,252.0,201.0,3.0,8.0,21.0,51.0,5.0,173.0,6.0,591.0,11.0,346.0,38.0,2546.0,15.0,,2776.0,2338.0,2634.0,20.835,2020-03-16,90.0,5.0,76.6,31.2,0.93,15.4,5.6,-0.6,83.0,12.3,76.6,1.94,22.3,10.0,3.0,-0.0,-6.0,82.0,66,73.0,76.0
Congo (Brazzaville),2020-03-15,2020-04-02,2020-03-29,,,0.6513157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,75,89.0,
Congo (Kinshasa),2020-03-11,2020-03-21,2020-03-19,2020-03-26,2020-04-01,0.17869048156826875,0.3171296296296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,71,79.0,86.0
Costa Rica,2020-03-06,2020-03-19,2020-03-11,2020-03-18,2020-03-21,0.07087366527374761,0.0,13.082640359134444,13.276389595500676,7.550056883300001,3.976776309803282,2.299081711336921,2.9527822857499997,7.027555694701286,0.946592272107,0.5365826223082065,1.274756609774962,10.592420685556778,9.46,73.0,119.0,684.0,0.0,874.0,38.0,44.0,134.0,183.0,295.0,4.0,5.0,32.0,107.0,5.0,49.0,15.0,507.0,8.0,478.0,43.0,2331.0,11.6,0.29,406.0,375.0,280.0,11.497,2020-03-17,83.0,5.0,79.2,32.6,1.08,14.8,4.9,0.8,27.0,7.5,79.2,1.87,25.7,11.0,6.0,-1.0,-2.0,79.0,66,71.0,78.0
Cote d'Ivoire,2020-03-11,2020-03-29,2020-03-21,2020-03-24,2020-03-27,0.13330442009001167,0.0,5.6655034235555215,2.4468245460046605,3.8547296369699997,1.5359943019983475,1.030122192528908,19.0685638995,1.986956655599836,9.780103488209999,10.04302037370688,3.9749872505309414,121.14252419729635,3.32,25.0,3.0,118.0,0.0,1028.0,7.0,35.0,139.0,48.0,15.0,1.0,10.0,66.0,21.0,14.0,849.0,29.0,89.0,46.0,270.0,35.0,2612.0,4.0,0.098,,,,,2020-03-17,79.0,5.0,61.3,20.3,2.26,29.1,7.9,1.2,617.0,59.1,61.3,3.67,10.3,6.0,-4.0,-7.0,-12.0,89.0,71,81.0,84.0
Croatia,2020-02-25,2020-03-19,2020-03-04,2020-03-16,2020-03-19,0.09540499251660277,0.17222222222222225,24.23247421024172,19.19697419472537,4.98692776775,3.9381908259733533,2.043392511809266,1.26100720554,7.923371147942983,0.117681204498,0.10653382660095786,0.23222022953617305,6.441873246604563,18.43,169.0,153.0,906.0,0.0,880.0,31.0,37.0,93.0,336.0,333.0,,16.0,45.0,7.0,4.0,70.0,75.0,461.0,17.0,237.0,119.0,2178.0,55.6,0.35,2090.0,761.0,738.0,29.962,2020-03-12,98.0,5.0,76.7,43.9,-0.5,8.7,12.8,-1.0,8.0,8.6,76.7,1.42,24.4,16.0,8.0,-4.0,-7.0,79.0,56,64.0,76.0
Cuba,2020-03-12,2020-03-18,2020-03-19,2020-03-25,2020-03-28,0.20192466778225618,0.2222222222222222,20.388948501772717,17.768737780974337,6.4197261499,4.292327582576736,1.6532218288136882,3.6449368127,6.320415303049594,0.632482831984,0.16110693255724226,1.1645423419582766,29.415143842434183,18.34,67.0,42.0,519.0,0.0,1337.0,32.0,10.0,219.0,293.0,134.0,2.0,7.0,58.0,177.0,1.0,236.0,4.0,518.0,0.0,185.0,87.0,2891.0,52.0,0.43,8026.0,3001.0,1806.0,81.9,2020-03-24,99.0,5.0,79.2,42.1,-0.25,10.4,9.1,-3.7,36.0,4.3,79.2,1.71,24.6,12.0,5.0,-1.0,6.0,78.0,72,79.0,85.0
Cyprus,2020-03-09,2020-03-22,2020-03-13,2020-03-19,2020-03-23,0.14137330559770733,0.12982804232804232,15.797357120667035,15.340200682082354,8.629432351230001,4.464188760001219,1.0201862571002416,1.83316227028,13.010301577547018,0.188250498325,0.003118546999915116,0.49000489016799703,9.409202641377929,19.37,88.0,37.0,673.0,0.0,805.0,31.0,45.0,101.0,313.0,239.0,33.0,7.0,53.0,28.0,4.0,52.0,54.0,235.0,21.0,389.0,79.0,1943.0,34.17,0.61,141.0,57.0,32.0,19.511,2020-03-13,,,79.3,37.9,1.15,10.9,7.0,7.6,6.0,7.4,79.3,1.48,21.8,4.0,-0.0,-6.0,-9.0,82.0,69,73.0,79.0
Czechia,2020-03-01,2020-03-22,2020-03-05,2020-03-11,2020-03-13,0.09216627503771258,0.30806056800972653,22.68156289233181,17.412003731857713,6.0061515304799995,4.08714516808379,1.9084212440630628,2.08410348718,7.819747342666592,0.069449314852,0.10545231205311427,0.2980466351409237,16.110773006654476,18.87,321.0,250.0,920.0,0.0,747.0,33.0,19.0,84.0,330.0,280.0,7.0,7.0,16.0,19.0,5.0,116.0,33.0,404.0,13.0,532.0,59.0,2357.0,64.9,0.25,8441.0,2876.0,2581.0,43.14,2020-03-11,98.0,11.0,79.3,43.3,0.06,8.9,10.7,2.3,3.0,2.6,79.3,1.48,26.0,10.0,6.0,-0.0,-11.0,82.0,61,65.0,71.0
Denmark,2020-02-27,2020-03-14,2020-03-04,2020-03-09,2020-03-10,0.04096727699753286,0.15570263070263068,12.989091247205286,20.738398394678647,5.5540056497500006,5.887261700503943,1.6145986847899103,2.3947420535900004,12.233014450837588,0.162976968541,0.0012236602254179741,0.39414827256885976,18.26903114487453,22.19,164.0,342.0,1201.0,0.0,905.0,65.0,64.0,107.0,339.0,368.0,0.0,22.0,21.0,7.0,13.0,112.0,60.0,483.0,34.0,197.0,79.0,2183.0,25.3,0.08900000000000001,2501.0,565.0,975.0,44.567,2020-03-16,,,81.2,42.0,0.48,11.1,9.5,2.8,4.0,3.2,81.2,1.78,19.7,18.0,12.0,7.0,2.0,74.0,58,64.0,69.0
Diamond Princess,2020-02-07,2020-02-20,2020-02-07,2020-02-07,2020-02-10,0.0,0.01666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,38,38.0,38.0
Djibouti,2020-03-18,,2020-03-25,,,0.2385281385281386,,7.760337298950644,6.3424281075379385,3.76564141907,1.9734644396493157,1.2571762640587725,18.269213251700002,2.9767341506062914,13.6956070071,0.3574221116710587,3.570634806248327,80.95906448666099,5.42,7.0,15.0,199.0,0.0,1495.0,4.0,8.0,42.0,80.0,85.0,15.0,7.0,6.0,128.0,11.0,30.0,11.0,331.0,5.0,335.0,65.0,2481.0,14.0,,17.0,13.0,9.0,2.2030000000000003,2020-03-20,92.0,5.0,64.7,24.9,2.07,22.7,7.3,5.1,248.0,41.6,64.7,2.19,13.5,2.0,-5.0,,,,78,85.0,
Dominica,2020-03-22,,2020-03-26,,,0.015151515151515138,,16.959054284629786,14.44449341638566,11.653891308299999,3.0734423355877007,1.1452174047105201,4.0376698412400005,5.023862207969255,1.6778758980200001,0.26823565435476704,1.6781721793955668,36.65758575741841,5.6,84.0,55.0,644.0,0.0,670.0,9.0,61.0,343.0,281.0,230.0,15.0,8.0,84.0,42.0,28.0,352.0,35.0,410.0,1.0,175.0,61.0,2300.0,,0.0,2.0,4.0,2.0,10.825,2020-03-23,98.0,5.0,77.7,34.9,0.13,14.5,8.0,-5.3,,9.7,77.7,2.02,27.9,1.0,-3.0,,,,82,86.0,
Dominican Republic,2020-03-01,2020-03-17,2020-03-14,2020-03-20,2020-03-21,0.1574252066774784,0.20905742863947194,16.175662943878745,7.995696998123642,5.9535914830299985,2.332020110424266,1.3790437797497244,5.6021463212,4.642701597190075,7.845276507079999,0.5229010609650316,1.8902919397405584,25.71169043269893,11.58,91.0,43.0,497.0,0.0,762.0,36.0,17.0,425.0,216.0,171.0,11.0,14.0,66.0,86.0,3.0,79.0,10.0,310.0,2.0,488.0,33.0,2367.0,16.0,,,,,15.6,2020-03-19,99.0,5.0,72.0,27.9,0.95,18.5,6.3,-2.7,95.0,20.9,72.0,2.24,27.6,18.0,5.0,-1.0,2.0,77.0,61,74.0,80.0
Ecuador,2020-03-01,2020-03-14,2020-03-04,2020-03-17,2020-03-18,0.12293286629807883,0.2260786676554196,9.863869507694435,9.57969566453301,7.936254430259999,2.5675234956748128,2.1380695451432783,6.1271894150699975,5.936934089283946,1.87324331604,0.6127950960527929,0.9225495493792806,36.82108928180646,5.45,48.0,77.0,504.0,0.0,1213.0,28.0,13.0,134.0,203.0,177.0,5.0,7.0,19.0,17.0,2.0,53.0,4.0,191.0,2.0,372.0,24.0,2082.0,15.0,0.095,5461.0,2016.0,1996.0,20.5,2020-03-13,88.0,5.0,77.5,28.8,1.2,17.0,5.2,0.0,59.0,15.0,77.5,2.09,19.9,12.0,9.0,-4.0,-1.0,74.0,61,64.0,77.0
Egypt,2020-02-14,2020-03-08,2020-03-06,2020-03-09,2020-03-14,0.08316539134177776,0.11731362143610287,21.982985670739875,5.899453606017111,7.870216623909999,4.0224638439739495,4.283238073747575,9.33073504498,6.407872253929704,0.174841938441,0.35887200703463273,1.61062788906562,34.38527733429462,13.77,2.0,35.0,279.0,0.0,2140.0,13.0,42.0,170.0,109.0,66.0,1.0,14.0,52.0,44.0,8.0,84.0,3.0,270.0,4.0,137.0,105.0,3042.0,15.6,0.12,23966.0,15363.0,5533.0,7.902,2020-03-16,96.0,5.0,73.7,24.1,2.28,27.2,4.4,-0.3,37.0,17.1,73.7,3.29,32.0,31.0,10.0,7.0,8.0,68.0,45,66.0,69.0
El Salvador,2020-03-19,2020-03-31,2020-03-26,,,0.2204355038236617,0.5,10.839676614781547,7.936820926977625,11.5014002823,2.6180803356657183,2.5084938563416896,5.38716754294,4.4625420429438165,0.70345310185,0.5233013642127459,1.1921021673222114,43.98363184429793,5.35,48.0,73.0,425.0,0.0,1203.0,31.0,15.0,106.0,122.0,182.0,13.0,3.0,75.0,157.0,1.0,64.0,9.0,383.0,2.0,117.0,58.0,2235.0,13.0,0.047,1222.0,,118.0,15.69,2020-03-11,96.0,5.0,74.8,27.7,0.83,18.6,5.9,-4.8,46.0,11.8,74.8,2.09,24.6,-8.0,-15.0,,-20.0,91.0,79,86.0,
Equatorial Guinea,2020-03-15,,2020-03-26,,,0.041666666666666664,,3.460437580314016,3.1610016348828816,3.2588773388599996,1.650614482742781,1.0528335569224057,7.93594831447,2.4311185588182966,21.7483327719,14.158430933624814,2.271099662871958,71.00733000326794,2.21,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,4.0,2020-03-16,48.0,5.0,65.7,20.3,2.35,30.7,7.3,0.0,301.0,59.7,65.7,4.11,8.0,1.0,-10.0,,,,75,86.0,
Eritrea,2020-03-21,,2020-03-29,,,0.2861111111111111,,5.721332426938188,5.409233443041924,3.2925307786599998,1.8447511399680667,1.4971536927378044,22.6664683291,1.5069838482779745,9.35054192145,0.6980452583618822,5.429285043893166,128.09517839045495,3.26,,,,,,,,,,,,,,,,,,,,,,,7.0,0.016,,17.0,1.0,0.557,2020-03-27,97.0,5.0,66.2,20.3,0.93,27.9,6.9,-11.6,480.0,43.3,66.2,3.73,5.0,6.0,-2.0,,,,81,89.0,
Estonia,2020-02-27,2020-03-25,2020-03-06,2020-03-13,2020-03-14,0.06941319118915217,0.6305555555555555,25.376031717246285,15.761323895078668,4.95713861386,2.487847179215016,2.134943456246682,1.8589479358,6.9831271957111465,0.613763812231,0.07314063272063479,0.3364087807842667,9.329070106487086,14.14,314.0,127.0,995.0,0.0,1052.0,48.0,22.0,100.0,283.0,507.0,3.0,9.0,9.0,28.0,10.0,146.0,73.0,245.0,29.0,159.0,80.0,2250.0,49.6,0.23,189.0,938.0,536.0,34.650999999999996,2020-03-16,95.0,5.0,77.4,43.7,-0.65,9.3,12.9,-3.1,9.0,3.7,77.4,1.61,21.2,18.0,10.0,3.0,-9.0,85.0,58,66.0,73.0
Eswatini,2020-03-14,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,
Ethiopia,2020-03-13,,2020-03-22,,,0.10892624887190105,,3.969321674324779,3.679245357149152,3.55263519522,1.4898138105272083,1.326309534482249,22.6312801083,2.028342663341012,7.84048979388,1.9479132204001068,4.8553617040163015,80.6396037851575,1.73,22.0,7.0,93.0,0.0,1453.0,2.0,1.0,13.0,30.0,51.0,0.0,3.0,19.0,206.0,27.0,282.0,3.0,86.0,4.0,83.0,13.0,2210.0,3.12,0.027000000000000003,349.0,147.0,44.0,1.0,2020-03-16,75.0,5.0,67.5,19.8,2.56,31.6,5.9,-0.2,401.0,35.8,67.5,4.14,4.5,3.0,-6.0,,,,73,82.0,
Fiji,2020-03-19,,,,,0.06666666666666665,,21.334709702601945,6.715416491005628,23.657384679299998,4.905830349727622,0.7096890673920629,6.5044002165000006,4.314978326695116,0.567731922066,0.6466537244528552,1.93860475039192,49.87907045120817,12.23,43.0,132.0,498.0,0.0,1065.0,16.0,66.0,37.0,209.0,69.0,4.0,7.0,206.0,107.0,7.0,255.0,14.0,348.0,3.0,300.0,49.0,2438.0,23.0,0.0,16.0,12.0,9.0,8.374,2020-03-20,99.0,5.0,73.7,29.9,0.5,17.4,6.3,-6.2,34.0,8.8,73.7,2.31,30.2,1.0,,,,,79,,
Finland,2020-01-29,2020-03-21,2020-03-05,2020-03-11,2020-03-13,0.06537813686903315,0.1858490093784212,18.82497700996532,15.455004554636233,4.51574100281,3.6420076371000265,2.213643729138634,1.4145550712900001,10.588047130995056,0.08634052491460001,0.0015138733475826415,0.28633157031634304,4.838803824977521,10.17,166.0,162.0,1283.0,0.0,968.0,34.0,63.0,107.0,531.0,485.0,30.0,8.0,20.0,11.0,3.0,113.0,40.0,302.0,16.0,219.0,59.0,2054.0,43.5,0.092,4081.0,1000.0,933.0,38.08,2020-03-18,98.0,14.0,81.3,42.8,0.3,10.6,10.3,2.6,3.0,2.5,81.3,1.74,22.2,49.0,13.0,7.0,-3.0,81.0,29,65.0,71.0
France,2020-01-24,2020-02-15,2020-02-08,2020-02-28,2020-02-29,0.09647175829037132,0.2431322225779927,12.825294243428766,20.471301337562565,5.098638977279999,3.2162393906537785,1.6269974522472377,2.22396441546,10.889372142690027,0.21900002318000006,0.0018464132155300086,0.3355661589886419,11.068242923420987,13.92,142.0,262.0,1209.0,0.0,989.0,44.0,64.0,118.0,438.0,384.0,4.0,17.0,25.0,17.0,3.0,94.0,31.0,395.0,30.0,431.0,70.0,2349.0,64.77,,22145.0,10247.0,7076.0,32.349000000000004,2020-03-16,78.0,13.0,82.2,41.7,0.35,11.9,9.6,1.1,8.0,3.2,82.2,2.06,21.6,52.0,37.0,17.0,30.0,46.0,24,39.0,59.0
Gabon,2020-03-14,2020-03-20,2020-03-31,,,0.2628968253968254,0.0,8.026924861267789,5.512493907060602,4.3592126006299985,2.196296105703881,2.1467204386712893,11.522028258199999,3.1902868370675206,10.8390480465,8.467373778119121,3.4073577722156085,77.69802912653581,5.68,109.0,8.0,380.0,0.0,952.0,3.0,57.0,279.0,236.0,52.0,17.0,24.0,124.0,2.0,0.0,444.0,9.0,144.0,1.0,153.0,29.0,2263.0,13.0,0.36,,,15.0,3.611,2020-03-16,98.0,5.0,69.0,21.0,2.5,26.3,5.9,3.9,252.0,30.4,69.0,3.41,15.0,2.0,-15.0,,-4.0,80.0,74,91.0,
Gambia,2020-03-17,2020-03-23,,,,0.055555555555555546,0.0,7.762879933815883,4.006295984695937,3.66789013275,2.0681169088597544,1.165703502680627,20.104811238299998,2.5217818432767456,8.10835880646,2.492134789442945,5.934737361219993,113.09010373035744,4.93,18.0,4.0,190.0,,1366.0,5.0,56.0,9.0,32.0,91.0,9.0,2.0,245.0,8.0,0.0,18.0,4.0,284.0,4.0,370.0,15.0,2351.0,11.0,0.11,10.0,8.0,1.0,1.077,2020-03-18,98.0,5.0,65.8,21.8,1.87,27.0,6.7,-1.6,597.0,54.9,65.8,3.21,10.3,1.0,,,-5.0,83.0,77,,
Georgia,2020-02-26,,2020-03-08,2020-03-22,2020-03-30,0.08403554439348097,,34.13303811375772,13.799022141051132,5.551578575880001,3.511900127319625,2.8168974666549182,1.95692758418,4.570333131453057,0.6633971728079999,0.06921876496334227,0.8794238671018839,14.851022735937553,13.26,71.0,92.0,506.0,0.0,1470.0,23.0,15.0,48.0,136.0,234.0,13.0,5.0,11.0,0.0,3.0,85.0,48.0,382.0,17.0,184.0,33.0,2365.0,25.85,2.21,,1453.0,,50.976000000000006,2020-03-02,96.0,5.0,77.0,38.6,0.05,11.6,11.0,0.1,25.0,13.8,77.0,1.75,21.7,5.0,-6.0,-20.0,,,57,68.0,82.0
Germany,2020-01-27,2020-03-09,2020-02-02,2020-02-29,2020-03-01,0.08908117018413135,0.2165113528333893,18.95540066333189,18.831721364212747,6.193244953250001,4.838841688982823,1.9283735867436766,2.00319451768,11.27744068435893,0.155536141773,0.0015323845010555518,0.2035397503237269,11.622038880025015,14.86,234.0,296.0,1093.0,0.0,882.0,44.0,38.0,111.0,361.0,349.0,0.0,5.0,34.0,7.0,7.0,126.0,30.0,461.0,54.0,440.0,77.0,2463.0,82.78,,54863.0,25752.0,23468.0,42.086999999999996,2020-03-18,,,81.1,47.8,-0.19,8.6,12.1,1.5,7.0,3.3,81.1,1.47,22.3,51.0,45.0,18.0,9.0,69.0,27,33.0,60.0
Ghana,2020-03-14,2020-03-21,2020-03-19,2020-03-24,2020-03-26,0.07062596023039532,0.041666666666666664,7.7178895074153475,4.358972848370349,4.96813454634,1.9394484308597235,1.1332455339469425,12.2617769127,2.3452726165309867,8.39563050354,10.266586446408908,4.477206063838525,117.74474662303335,2.87,24.0,6.0,129.0,0.0,842.0,4.0,56.0,345.0,45.0,14.0,3.0,5.0,102.0,62.0,35.0,1190.0,0.0,120.0,6.0,146.0,25.0,2904.0,9.0,0.035,,,,1.8,2020-03-16,97.0,5.0,68.2,21.4,2.15,29.6,6.6,-1.6,308.0,32.1,68.2,3.9,10.9,2.0,-3.0,-8.0,-5.0,81.0,74,79.0,84.0
Greece,2020-02-26,2020-03-11,2020-03-05,2020-03-08,2020-03-13,0.08141896545993894,0.11364652286863337,21.803319096801204,18.094635975196194,4.88510240167,4.853683272683731,0.9594008260056468,1.6790605107199998,10.291182034782956,0.132370952261,0.011291958505006059,0.34481232467059153,14.695254293100984,20.59,69.0,47.0,770.0,0.0,971.0,33.0,34.0,154.0,279.0,364.0,11.0,13.0,59.0,45.0,4.0,102.0,33.0,286.0,70.0,682.0,98.0,2585.0,42.5,,11240.0,1867.0,2843.0,45.92,2020-03-11,50.0,26.0,81.1,45.3,-0.31,7.8,12.0,0.9,3.0,3.7,81.1,1.38,24.9,14.0,6.0,3.0,-0.0,71.0,57,65.0,68.0
Grenada,2020-03-22,,2020-04-02,,,0.06613756613756616,,20.507222863800525,13.84692196816303,11.9968635473,2.9958144788620538,1.4218254345776782,5.750920712439999,5.4556105553219245,1.31027988939,0.17363953983660999,1.2814938433959229,50.257405829804156,7.66,96.0,35.0,589.0,0.0,661.0,35.0,55.0,171.0,277.0,183.0,17.0,4.0,57.0,63.0,31.0,55.0,15.0,380.0,2.0,236.0,29.0,1814.0,37.0,0.0,3.0,7.0,2.0,14.470999999999998,2020-03-16,,,75.2,33.3,0.38,14.6,8.3,-2.6,25.0,8.9,75.2,1.96,21.3,-6.0,-17.0,,,,82,93.0,
Guatemala,2020-03-14,2020-03-16,2020-03-20,,,0.09335146564248731,0.0,7.046255293743651,6.183822808693867,8.44284824917,1.9697685383651509,3.23669204393362,13.3380409722,4.177613301865085,1.12241982386,0.6227278914003612,2.4311215458300293,81.88316360802901,4.28,30.0,20.0,283.0,0.0,1216.0,48.0,5.0,70.0,130.0,76.0,3.0,4.0,55.0,140.0,3.0,18.0,9.0,479.0,11.0,191.0,39.0,2266.0,6.0,0.032,201.0,188.0,155.0,3.55,2020-03-16,89.0,5.0,72.4,23.2,1.68,23.3,4.9,-1.7,95.0,21.8,72.4,2.72,21.2,2.0,-4.0,,-0.0,76.0,74,80.0,
Guinea,2020-03-13,,2020-03-29,2020-04-02,,0.41199494949494947,,5.855575066521231,3.5857156164458988,3.5547718574800005,1.761162911265064,0.8284016736213066,20.744019683199998,1.6783813415098958,6.277911237970001,13.372453555724592,4.743995020620146,146.7849596584441,2.08,5.0,9.0,135.0,0.0,1389.0,6.0,19.0,145.0,58.0,37.0,4.0,6.0,105.0,41.0,0.0,380.0,5.0,124.0,0.0,372.0,90.0,2660.0,3.0,0.026000000000000002,,,6.0,0.7879999999999999,2020-03-25,72.0,5.0,63.2,19.1,2.76,36.1,8.4,0.0,576.0,52.4,63.2,4.92,7.7,12.0,-4.0,-8.0,,,73,89.0,93.0
