Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Guinea-Bissau,2020-03-25,,,,,0.5208333333333334,,6.2349304397293475,3.152981326147212,4.12012028148,1.683708590027455,1.060562644107332,18.7720023384,1.7251048916033809,13.370608927100001,2.99636014629052,4.01970037606316,132.6561215293195,2.02,31.0,7.0,174.0,,1289.0,3.0,2.0,88.0,117.0,39.0,6.0,5.0,26.0,18.0,0.0,185.0,3.0,31.0,52.0,338.0,12.0,2079.0,10.0,30.81,,,,2.0,2020-03-17,94.0,5.0,62.8,18.0,2.51,36.9,7.9,-3.8,667.0,51.9,62.8,4.75,9.5,-8.0,,,,,85,,
Guyana,2020-03-12,2020-03-12,2020-03-22,,,0.28055555555555556,0.3333333333333333,18.64498416910789,6.7794952542492375,10.467874975,2.2725346953580754,2.158361857766013,4.77115541815,3.8542539494461057,4.59864850139,1.5682045345246884,2.33847347372066,46.67934059258703,7.44,33.0,12.0,520.0,,1229.0,7.0,50.0,130.0,213.0,237.0,11.0,2.0,146.0,67.0,32.0,77.0,16.0,320.0,13.0,106.0,184.0,2365.0,16.0,0.13,45.0,13.0,9.0,7.99,2020-03-16,99.0,5.0,69.5,27.5,0.72,15.5,7.5,0.0,667.0,27.6,69.5,1.89,20.2,4.0,-6.0,,4.0,72.0,72,82.0,
Haiti,2020-03-20,,2020-03-29,,,0.15694444444444444,,11.668701692778873,5.552575878245164,6.21873064252,2.6635414142555907,0.9738834720297048,14.455674199,2.5419315299960314,6.77660599691,0.9669721342089294,3.111403304690128,76.50501534353552,4.4,89.0,14.0,164.0,0.0,934.0,2.0,9.0,128.0,90.0,46.0,4.0,4.0,35.0,166.0,0.0,247.0,9.0,175.0,0.0,197.0,16.0,2000.0,7.0,0.039,115.0,300.0,60.0,2.345,2020-03-20,81.0,5.0,65.3,24.1,1.26,21.7,7.4,-1.9,480.0,42.6,65.3,2.52,22.7,-0.0,-9.0,,,,80,89.0,
Holy See,2020-03-06,,,,,0.11111111111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,
Honduras,2020-03-11,2020-03-26,2020-03-19,2020-03-26,2020-03-29,0.22101539719972849,0.6936507936507935,12.538357511684339,6.791652231793204,7.84212934255,3.8257752675092216,3.3090332470268544,6.1307409976,4.756099662575218,1.6926060094300002,1.2448226953242263,1.8653537073423607,16.133139871894688,8.91,36.0,33.0,344.0,0.0,1191.0,15.0,5.0,79.0,148.0,138.0,8.0,4.0,9.0,122.0,1.0,15.0,12.0,436.0,2.0,280.0,19.0,2208.0,7.0,0.086,444.0,498.0,147.0,3.1439999999999997,2020-03-12,88.0,5.0,74.6,24.4,1.27,18.5,4.7,-1.4,65.0,14.6,74.6,2.09,21.4,1.0,-7.0,-14.0,-14.0,86.0,71,79.0,86.0
Hungary,2020-03-04,2020-03-15,2020-03-11,2020-03-17,2020-03-21,0.11840932796038543,0.13372183372183374,25.94255797523229,19.695265640835,4.95008276166,4.860332812067168,2.653501866569377,1.1362240439799998,7.3860318655662045,0.0911624563025,0.09503964129040186,0.3093845879536984,5.909549421062976,20.0,200.0,347.0,1056.0,0.0,882.0,53.0,13.0,68.0,388.0,254.0,1.0,0.0,13.0,27.0,10.0,88.0,28.0,351.0,2.0,492.0,69.0,2230.0,70.37,0.11,3189.0,1245.0,1220.0,32.312,2020-03-16,99.0,5.0,76.7,43.6,-0.28,8.8,12.9,1.3,12.0,4.7,76.7,1.47,26.4,12.0,5.0,-1.0,1.0,75.0,64,71.0,77.0
Iceland,2020-02-28,2020-03-15,2020-03-03,2020-03-07,2020-03-12,0.06784591659690291,0.16666666666666666,13.659360360053654,17.569629580324815,4.35521384464,5.404932791140827,0.7659936045800297,2.40211386441,12.414625626358216,0.17470724874100002,0.006467741744537573,0.3195962290330812,14.395055884814765,14.74,148.0,217.0,1617.0,0.0,782.0,43.0,165.0,161.0,551.0,622.0,34.0,19.0,35.0,7.0,12.0,78.0,68.0,386.0,18.0,219.0,62.0,2010.0,31.71,0.61,167.0,55.0,45.0,39.701,2020-03-16,,,83.3,37.1,1.02,13.3,6.6,3.3,4.0,2.1,83.3,1.97,21.9,17.0,13.0,9.0,1.0,75.0,59,63.0,67.0
India,2020-01-30,2020-03-11,2020-03-04,2020-03-10,2020-03-14,0.1985989316003709,0.25040955877881166,13.31382220887624,5.3443855761674035,5.60426814482,6.8664582858595145,1.5038946623021487,12.696488789900002,4.401810455047043,4.24169306741,1.4600261520626907,4.123177287116658,54.254569405463236,9.06,13.0,75.0,280.0,0.0,1392.0,12.0,13.0,72.0,15.0,164.0,0.0,1.0,49.0,158.0,30.0,56.0,1.0,180.0,10.0,219.0,57.0,2237.0,6.6,,31560.0,29310.0,20280.0,7.776,2020-03-20,87.0,5.0,69.7,28.7,1.1,18.2,7.3,0.0,145.0,35.4,69.7,2.35,3.9,50.0,16.0,10.0,9.0,71.0,30,64.0,70.0
Indonesia,2020-03-02,2020-03-11,2020-03-09,2020-03-13,2020-03-15,0.09377789761595756,0.11870078356011789,19.401805742327326,7.496086908313655,7.912381607219999,4.712343984856874,3.2215494036783165,8.31558150632,5.700231911613536,4.8562551668800005,1.7279002167866246,1.949919636843617,27.08403915947061,13.83,2.0,7.0,195.0,0.0,1848.0,23.0,85.0,82.0,53.0,21.0,0.0,6.0,106.0,10.0,15.0,143.0,8.0,200.0,5.0,236.0,41.0,2697.0,12.1,,,,,3.7769999999999997,2020-03-25,77.0,5.0,73.7,31.1,0.79,15.4,6.6,-1.1,177.0,20.4,73.7,2.04,6.9,23.0,16.0,12.0,14.0,71.0,62,69.0,73.0
Iran,2020-02-19,2020-02-19,2020-02-21,2020-02-24,2020-02-26,0.07709654245343071,0.04854052852639564,15.547970873519187,7.797937006503519,7.595734173160001,2.871605270397837,0.7846365360561505,3.2270041593900003,8.654298089271197,0.2201412672,0.10371373523910546,0.8139604177693724,15.771287893153046,10.13,0.0,86.0,365.0,0.0,1636.0,29.0,23.0,178.0,144.0,76.0,0.0,6.0,7.0,68.0,8.0,102.0,3.0,284.0,80.0,279.0,111.0,2755.0,15.0,,1272.0,1197.0,1421.0,11.4,2020-02-26,99.0,5.0,74.5,31.7,1.1,16.3,5.3,-0.3,16.0,14.9,74.5,1.94,25.8,7.0,5.0,2.0,7.0,50.0,50,52.0,55.0
Iraq,2020-02-24,2020-03-04,2020-02-29,2020-03-07,2020-03-13,0.09143102063572446,0.05177602590646072,9.856842511566178,4.0097286286696425,6.9703854348,2.1356338667781842,0.4308600216923452,6.8828324952600015,5.157033195519543,0.492356081307,0.2795058172147923,2.0391130521326337,10.80737071897974,7.5,5.0,47.0,208.0,0.0,1491.0,37.0,6.0,79.0,74.0,44.0,6.0,1.0,15.0,35.0,2.0,17.0,13.0,236.0,10.0,363.0,28.0,2298.0,13.8,0.18,1071.0,974.0,488.0,8.217,2020-03-07,95.0,5.0,72.6,21.2,2.16,25.7,3.9,-0.5,79.0,19.5,72.6,3.39,30.4,12.0,7.0,-0.0,3.0,64.0,55,60.0,67.0
Ireland,2020-02-29,2020-03-11,2020-03-06,2020-03-13,2020-03-14,0.10468008891489818,0.2921655912494379,13.38372934965379,17.385487204558533,4.9266147706,5.606315354708087,1.0588147099025078,2.2927291501400004,11.544784594124586,0.13993248021899998,0.0015898552839942225,0.4797855642018499,17.430641214303026,19.03,240.0,223.0,1042.0,0.0,1074.0,37.0,55.0,140.0,379.0,339.0,6.0,9.0,29.0,24.0,6.0,130.0,53.0,450.0,26.0,405.0,92.0,2675.0,27.61,,2201.0,653.0,1089.0,30.861,2020-03-12,77.0,5.0,81.2,37.8,1.04,13.0,6.8,3.9,5.0,3.6,81.2,1.94,25.3,12.0,6.0,-1.0,1.0,71.0,60,66.0,73.0
Israel,2020-02-21,2020-03-21,2020-03-01,2020-03-08,2020-03-12,0.14586942785092913,0.20854700854700856,10.345470604355288,15.031542872342095,8.55455785368,3.7638188963730537,0.9398362314325456,2.6649285480000002,12.357996257339108,0.194208069474,0.00824128011642143,0.6957890238175471,18.22910334510501,13.55,44.0,36.0,812.0,0.0,1074.0,39.0,45.0,189.0,402.0,281.0,7.0,10.0,111.0,61.0,5.0,72.0,35.0,254.0,46.0,694.0,107.0,2697.0,30.92,0.078,3161.0,636.0,1049.0,32.176,2020-03-12,68.0,38.0,83.0,30.4,1.46,17.6,5.3,2.1,3.0,3.3,83.0,2.59,26.1,20.0,11.0,4.0,-9.0,81.0,52,61.0,68.0
Italy,2020-01-31,2020-02-21,2020-02-21,2020-02-22,2020-02-23,0.04903259393225545,0.07276128254920744,16.074511155172154,19.609837281632363,6.25583300719,3.5050331485610218,1.4904245736856276,1.31172619666,11.864792052533247,0.33003211158400003,0.09551890679075273,0.3754265743125301,7.3030478161162495,13.78,103.0,148.0,885.0,0.0,1148.0,45.0,56.0,140.0,353.0,276.0,8.0,7.0,15.0,49.0,1.0,68.0,11.0,312.0,50.0,646.0,85.0,2637.0,34.22,0.14,12146.0,11847.0,12571.0,40.931,2020-03-04,,,82.5,46.5,0.11,8.4,10.7,3.2,2.0,3.2,82.5,1.47,19.9,33.0,12.0,11.0,12.0,52.0,31,52.0,53.0
Jamaica,2020-03-11,2020-03-19,2020-03-15,,,0.10598614348614348,0.3333333333333333,15.001335555820706,12.353230325192671,13.378768658099995,3.31799028062484,0.7073929295318925,3.64581147071,5.771115595598714,1.16208519847,0.218271629626352,1.65895566790195,16.928147379058235,10.65,74.0,87.0,522.0,0.0,889.0,7.0,48.0,142.0,215.0,156.0,16.0,8.0,58.0,28.0,45.0,151.0,9.0,511.0,2.0,253.0,57.0,2235.0,17.0,0.07200000000000001,183.0,99.0,40.0,13.199000000000002,2020-03-13,99.0,5.0,75.2,29.4,-0.07,16.1,7.5,-9.4,80.0,11.6,75.2,2.07,24.7,2.0,-2.0,,-6.0,79.0,71,75.0,
Japan,2020-01-22,2020-02-13,2020-01-30,2020-02-16,2020-02-21,0.09380546077537111,0.04038325106620847,14.751243006618193,19.16170722440464,6.473510909630001,3.877796918576398,1.5427533841934484,3.38680637395,11.939125845286355,0.16410318386199998,0.004273734956962154,0.7522804585388677,22.10348864875916,14.79,132.0,30.0,548.0,1.0,1059.0,78.0,125.0,47.0,197.0,110.0,4.0,7.0,108.0,14.0,11.0,60.0,22.0,241.0,13.0,364.0,69.0,2149.0,134.0,,21275.0,10412.0,8140.0,24.118000000000002,2020-03-02,84.0,5.0,86.0,48.6,-0.27,7.3,10.2,0.0,5.0,1.9,86.0,1.43,4.3,40.0,32.0,15.0,18.0,44.0,22,30.0,47.0
Jordan,2020-03-03,2020-03-27,2020-03-16,2020-03-18,2020-03-22,0.04115487367256976,0.4444444444444445,10.36832667297922,6.5462430045988205,8.55904352392,3.1922029039908173,0.7432488346558872,4.03819786933,8.614569842520785,0.063440744089,0.12299614776177915,2.3395843855765115,18.346124713387567,11.9,3.0,30.0,330.0,0.0,1199.0,13.0,12.0,71.0,157.0,114.0,6.0,4.0,50.0,61.0,5.0,44.0,18.0,379.0,19.0,467.0,62.0,2384.0,14.0,0.11,,,,23.436,2020-03-15,98.0,5.0,75.5,23.5,1.4,23.0,3.4,-11.3,46.0,12.8,75.5,3.04,35.5,12.0,-1.0,-3.0,-12.0,87.0,63,76.0,78.0
Kazakhstan,2020-03-13,2020-03-20,2020-03-16,2020-03-21,2020-03-26,0.2028940780672858,0.25,25.56145927412853,8.968912427607712,4.1039233890099975,3.382006663338167,4.020429655442941,3.5577673714199998,4.6626176981900045,1.1587053292799998,0.1903131190114786,1.6440480561715634,22.388142595576817,14.68,97.0,72.0,902.0,0.0,938.0,33.0,9.0,104.0,326.0,446.0,9.0,16.0,19.0,5.0,2.0,189.0,31.0,264.0,22.0,495.0,119.0,2294.0,67.18,0.16,,4816.0,,32.522,2020-03-16,95.0,5.0,72.0,31.6,0.89,16.4,8.2,0.4,10.0,17.9,72.0,2.16,21.0,3.0,-0.0,-5.0,-4.0,80.0,73,76.0,81.0
Kenya,2020-03-13,2020-03-26,2020-03-22,2020-03-30,2020-04-02,0.23874197454567644,0.3333333333333333,5.179330905478852,3.728303158866701,2.69376096759,1.7424329021403302,1.8330907140748205,26.6720493964,2.35923148056,17.056098604600002,2.234817859205939,2.735108782827789,94.55463077100914,3.36,29.0,15.0,251.0,0.0,1121.0,4.0,7.0,59.0,80.0,138.0,0.0,6.0,17.0,151.0,1.0,164.0,3.0,156.0,6.0,140.0,26.0,1873.0,14.0,0.016,316.0,357.0,129.0,1.9880000000000002,2020-03-16,87.0,5.0,69.0,20.0,2.2,27.2,5.2,-0.2,342.0,29.8,69.0,3.43,7.1,3.0,-6.0,-14.0,-10.0,86.0,73,82.0,90.0
"Korea, South",2020-01-22,2020-02-20,2020-01-31,2020-02-20,2020-02-20,0.011187332903890549,0.03317964354080164,10.295793927556266,16.726082323157208,7.5275820078899995,4.2337745994106895,2.3928358318947898,1.86740217258,12.272180786242954,0.5877710948220001,0.36637353936612377,0.8187166294518535,18.073247354130565,16.37,138.0,83.0,629.0,27.0,1387.0,41.0,110.0,76.0,313.0,44.0,,11.0,73.0,11.0,4.0,38.0,8.0,357.0,32.0,451.0,165.0,2740.0,115.3,0.08900000000000001,15792.0,5463.0,3771.0,23.660999999999998,2020-03-02,98.0,5.0,82.6,43.2,0.39,8.2,6.8,2.3,11.0,3.0,82.6,1.29,4.7,40.0,31.0,11.0,11.0,51.0,22,31.0,51.0
Kosovo,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-31,0.06644455968738505,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,86,86.0,86.0
Kuwait,2020-02-24,,2020-02-25,2020-03-02,2020-03-14,0.07248406903329237,,12.733314693731735,5.161070081559663,7.40488912207,3.4857062525638702,0.7885240760861478,3.42206403635,12.084279994811368,0.15784191132300002,0.012040715902790123,1.2761532029490787,29.092042277259463,13.59,0.0,40.0,632.0,0.0,1407.0,70.0,21.0,173.0,287.0,205.0,22.0,9.0,32.0,57.0,26.0,85.0,42.0,423.0,29.0,397.0,119.0,2814.0,20.4,,,,,25.789,2020-03-01,99.0,5.0,78.6,29.7,1.27,18.0,2.3,-3.3,12.0,6.5,78.6,2.26,37.9,6.0,5.0,-1.0,,,55,56.0,62.0
Kyrgyzstan,2020-03-18,,2020-03-21,2020-03-27,2020-03-31,0.13134159601202477,,20.483115222305862,6.448403799397997,4.11556522298,2.8453791007075413,4.511841660940162,7.500168501569999,4.711790956695143,1.77587911905,0.3007114619704289,2.7046726096187435,14.268920341555654,11.05,41.0,42.0,615.0,0.0,1280.0,16.0,3.0,50.0,172.0,368.0,5.0,13.0,1.0,52.0,3.0,173.0,34.0,246.0,22.0,136.0,139.0,2184.0,45.12,0.7,1868.0,994.0,592.0,18.76,2020-03-16,97.0,5.0,71.8,27.3,0.96,20.6,6.3,-5.0,60.0,23.3,71.8,2.54,16.6,-2.0,-5.0,-11.0,,,78,81.0,87.0
Laos,2020-03-24,,2020-04-01,,,0.0949074074074074,,13.179821798330051,5.570101273359861,4.7443832651000015,4.0350787948959566,2.0276610435817517,19.536213727899998,3.7426154184004927,2.67851709832,0.5549999104410068,1.8887800245154616,72.75014127184724,11.64,69.0,37.0,292.0,0.0,1797.0,7.0,48.0,253.0,182.0,9.0,8.0,8.0,72.0,25.0,21.0,150.0,25.0,94.0,1.0,89.0,124.0,2756.0,15.0,0.1,65.0,66.0,60.0,4.997,2020-03-19,83.0,5.0,65.7,24.0,1.44,22.4,7.2,-1.0,185.0,45.6,65.7,2.53,5.3,-5.0,-13.0,,,,84,92.0,
Latvia,2020-03-02,,2020-03-11,2020-03-18,2020-03-20,0.08609726705331056,,31.361236866868573,14.838857999137234,4.63106523248,2.227245089630606,1.7724285423068709,1.9248278901900002,6.506117124786849,0.9144601231,0.06630018216960609,0.2763347825260785,11.344314291160964,14.56,194.0,244.0,977.0,0.0,935.0,47.0,53.0,75.0,310.0,312.0,8.0,10.0,18.0,1.0,2.0,227.0,61.0,258.0,24.0,304.0,85.0,2192.0,58.0,0.73,1055.0,405.0,453.0,31.945999999999998,2020-03-13,94.0,5.0,75.4,44.4,-1.12,9.2,14.6,-5.9,19.0,5.0,75.4,1.53,23.6,11.0,2.0,-5.0,,,62,71.0,78.0
Lebanon,2020-02-21,2020-03-10,2020-03-01,2020-03-11,2020-03-15,0.03989265194056609,0.12507215007215008,16.0103915749743,12.170817169651887,7.234590550559997,4.238388179515459,0.8794973728642905,2.32500205522,7.498372147344098,0.23926957921300002,0.06768908713431095,0.936131507297616,14.01322244216856,19.04,20.0,35.0,311.0,0.0,1228.0,8.0,16.0,120.0,123.0,125.0,9.0,3.0,57.0,60.0,5.0,83.0,22.0,382.0,59.0,435.0,88.0,2569.0,28.5,0.66,2547.0,941.0,486.0,22.71,2020-03-02,,,78.3,33.7,-6.68,13.6,5.4,-88.7,29.0,6.8,78.3,1.71,32.0,10.0,1.0,-9.0,-8.0,70.0,52,61.0,71.0
Liberia,2020-03-16,,,,,0.16666666666666666,,5.265591648797012,2.896302711350656,3.81015129627,1.3815185621810775,1.1998807523401809,23.0619147548,2.096449897894036,7.26973401822,13.373916243173252,4.112199648487234,93.06163775751179,2.89,32.0,4.0,119.0,0.0,1078.0,4.0,11.0,72.0,89.0,6.0,4.0,5.0,23.0,7.0,0.0,344.0,2.0,63.0,5.0,357.0,20.0,2012.0,8.0,0.023,23.0,,,0.373,2020-03-16,74.0,5.0,64.7,18.0,2.71,37.3,7.0,-2.9,661.0,47.4,64.7,4.9,9.9,-0.0,,,,,76,,
Libya,2020-03-24,2020-04-02,2020-03-31,,,0.6694444444444444,,16.889497813912364,8.714725371929383,8.44753870663,3.0947588469085305,0.9235111132280766,3.15664351491,6.4347663605571,0.432709134141,0.5631029971613479,0.7218038955560295,20.933559583593162,7.66,,,,,,,,,,,,,,,,,,,,,,,37.0,0.5,,,,21.581,2020-03-16,99.0,5.0,76.7,25.8,1.94,23.0,3.5,-0.7,72.0,11.5,76.7,3.17,32.5,-8.0,-15.0,,-17.0,93.0,84,91.0,
Liechtenstein,2020-03-04,,2020-03-18,2020-03-23,,0.05114303786030542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,78.0,83.0
Lithuania,2020-02-28,2020-03-21,2020-03-15,2020-03-21,2020-03-22,0.1046875467512662,0.11130952380952379,29.187540977759372,14.803065952180456,3.5795656838100003,2.3228006759388955,2.7322533313433714,2.0395734673900003,6.417709779056803,0.773288807066,0.07288480951284694,0.28230996141165043,14.363062080076276,13.87,227.0,182.0,1056.0,0.0,1075.0,58.0,66.0,80.0,395.0,346.0,3.0,9.0,21.0,88.0,11.0,91.0,16.0,422.0,22.0,240.0,68.0,2363.0,72.82,0.5,2429.0,1316.0,903.0,43.37,2020-03-16,97.0,5.0,75.5,44.5,-1.13,9.5,15.0,-5.9,5.0,3.8,75.5,1.6,26.3,17.0,1.0,-5.0,-5.0,81.0,59,75.0,81.0
Luxembourg,2020-02-29,2020-03-14,2020-03-12,2020-03-14,2020-03-17,0.07634095135827583,0.12584876392972347,14.191358083154032,17.719507674472002,5.3228710445299985,4.6832918728562944,1.8023066510965504,1.9612657381799998,11.660304161743165,0.195814442678,0.007912298555657291,0.3979302138480415,13.339254187375474,15.43,344.0,160.0,1161.0,0.0,799.0,64.0,55.0,138.0,531.0,344.0,19.0,7.0,20.0,7.0,11.0,82.0,134.0,270.0,5.0,258.0,87.0,2174.0,48.2,0.75,291.0,89.0,89.0,30.266,2020-03-16,,,82.6,39.5,1.8,11.6,7.3,13.3,5.0,3.3,82.6,1.62,22.6,16.0,4.0,2.0,2.0,74.0,60,72.0,74.0
MS Zaandam,2020-03-28,2020-04-01,,,,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,88,,
Madagascar,2020-03-20,,2020-03-23,2020-03-31,,0.16053886953519758,,7.967907305313928,3.250550992329184,2.4720864479199998,2.4624528962255936,0.8062134997353131,25.87196113380001,1.7272639048418506,2.33381994731,3.890326829895957,8.45575613302868,118.92057309802178,3.14,11.0,7.0,134.0,0.0,1189.0,2.0,10.0,56.0,69.0,40.0,1.0,5.0,8.0,29.0,3.0,304.0,3.0,84.0,1.0,66.0,11.0,1769.0,2.0,0.026000000000000002,90.0,21.0,28.0,1.8119999999999998,2020-03-21,70.0,5.0,67.3,20.3,2.39,29.9,6.2,0.0,335.0,37.8,67.3,3.78,5.3,1.0,-2.0,-10.0,,,80,83.0,91.0
Malaysia,2020-01-25,2020-03-17,2020-02-04,2020-03-04,2020-03-09,0.06292793878506571,0.11861426551349034,19.39398967301281,10.033706306670293,7.254092708330001,3.4760601824440367,1.247655811139078,7.220173442130001,6.337843953839671,1.4706562843200002,0.5727300888627609,0.9321984502279886,113.51469248262728,14.32,12.0,25.0,511.0,0.0,1252.0,71.0,102.0,58.0,238.0,72.0,17.0,2.0,37.0,26.0,42.0,40.0,1.0,409.0,8.0,438.0,59.0,2398.0,18.6,0.077,1967.0,836.0,684.0,15.132,2020-03-18,99.0,5.0,75.9,29.2,1.29,18.3,5.3,-0.3,29.0,11.4,75.9,2.43,15.6,53.0,43.0,14.0,1.0,77.0,25,35.0,64.0
Maldives,2020-03-08,,2020-03-14,,,0.029479847494553384,,13.389616128405848,6.209301050017836,9.52179135747,5.4878555542397125,0.7449962345157407,3.07161842891,9.788789155400847,0.537677829043,0.8809147233826814,2.596284969184698,11.189928234819334,14.87,16.0,42.0,546.0,0.0,1016.0,45.0,199.0,96.0,85.0,175.0,37.0,0.0,16.0,8.0,31.0,37.0,29.0,242.0,64.0,42.0,69.0,1707.0,43.0,,6.0,13.0,2.0,10.379000000000001,2020-03-12,99.0,5.0,76.4,29.5,-0.08,16.0,4.1,-12.7,53.0,19.8,76.4,1.71,8.6,4.0,-2.0,,,,68,74.0,
Mali,2020-03-25,2020-03-29,2020-03-27,,,0.2356142841626713,0.375,3.6171744418132574,2.5121659994362067,2.6926171888400003,1.48179513569363,0.5078553851458095,20.1115474576,1.1725902326373054,2.94290501086,15.922857495978912,6.9618308648182765,62.368475088191346,1.38,38.0,13.0,336.0,0.0,1925.0,2.0,14.0,51.0,102.0,193.0,3.0,10.0,50.0,93.0,7.0,85.0,1.0,104.0,21.0,150.0,61.0,2590.0,1.0,0.026000000000000002,151.0,,21.0,1.393,2020-03-19,79.0,5.0,61.6,16.0,2.95,42.2,9.0,-3.9,562.0,64.0,61.6,5.72,8.6,-6.0,-8.0,,-10.0,89.0,85,87.0,
