Continent,"Country,
Other","Total
Cases","Total
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Total Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,,
Europe,Russia,"405,843","4,693","171,883","229,267","2,300","2,781",32,"10,643,124","72,933","145,929,507",,
Europe,Spain,"286,509","27,127","196,958","62,424",617,"6,128",580,"4,063,843","86,921","46,753,345",,
Europe,UK,"274,762","38,489",N/A,N/A,"1,559","4,049",567,"4,285,738","63,158","67,856,881",,
Europe,Italy,"232,997","33,415","157,507","42,075",435,"3,853",553,"3,878,739","64,144","60,468,778",,
Europe,France,"188,882","28,802","68,355","91,725","1,319","2,894",441,"1,384,633","21,217","65,261,942",,
Europe,Germany,"183,494","8,605","165,200","9,689",702,"2,191",103,"3,952,971","47,193","83,762,346",,
Europe,Belgium,"58,381","9,467","15,887","33,027",168,"5,039",817,"866,497","74,791","11,585,527",,
Europe,Netherlands,"46,442","5,956",N/A,N/A,159,"2,711",348,"349,150","20,380","17,131,835",,
Europe,Belarus,"42,556",235,"18,514","23,807",92,"4,503",25,"541,093","57,261","9,449,568",,
Europe,Sweden,"37,542","4,395","4,971","28,176",228,"3,719",435,"238,800","23,657","10,094,088",,
Europe,Portugal,"32,500","1,410","19,409","11,681",64,"3,187",138,"795,838","78,031","10,199,012",,
Europe,Switzerland,"30,862","1,920","28,500",442,28,"3,568",222,"397,691","45,979","8,649,383",,
Europe,Ireland,"24,990","1,652","22,089","1,249",36,"5,066",335,"325,795","66,043","4,933,108",,
Europe,Poland,"23,786","1,064","11,271","11,451",160,628,28,"915,546","24,189","37,849,860",,
Europe,Ukraine,"23,672",708,"9,538","13,426",278,541,16,"356,565","8,149","43,753,702",,
Europe,Romania,"19,257","1,266","13,256","4,735",160,"1,000",66,"439,197","22,819","19,247,388",,
Europe,Austria,"16,731",668,"15,593",470,27,"1,859",74,"448,534","49,825","9,002,188",,
Europe,Denmark,"11,669",574,"10,362",733,20,"2,015",99,"628,965","108,619","5,790,554",,
Europe,Serbia,"11,412",243,"6,698","4,471",10,"1,306",28,"245,985","28,144","8,740,077",,
Europe,Czechia,"9,268",320,"6,558","2,390",15,866,30,"439,744","41,069","10,707,393",,
Europe,Norway,"8,440",236,"7,727",477,8,"1,558",44,"245,352","45,287","5,417,721",,
Europe,Moldova,"8,251",295,"4,581","3,375",251,"2,045",73,"40,565","10,054","4,034,692",,
Europe,Finland,"6,859",318,"5,500","1,041",10,"1,238",57,"184,408","33,286","5,540,033",,
Europe,Luxembourg,"4,018",110,"3,833",75,3,"6,428",176,"75,432","120,675","625,086",,
Europe,Hungary,"3,876",526,"2,147","1,203",25,401,54,"185,980","19,248","9,662,256",,
Europe,Greece,"2,917",175,"1,374","1,368",13,280,17,"180,518","17,313","10,426,947",,
Europe,Bulgaria,"2,513",140,"1,074","1,299",17,361,20,"81,348","11,701","6,952,375",,
Europe,Bosnia and Herzegovina,"2,510",153,"1,862",495,4,765,47,"65,220","19,870","3,282,366",,
Europe,Croatia,"2,246",103,"2,072",71,4,547,25,"66,405","16,168","4,107,186",,
Europe,North Macedonia,"2,226",133,"1,552",541,21,"1,068",64,"29,575","14,196","2,083,381",,
Europe,Estonia,"1,869",68,"1,624",177,,"1,409",51,"83,440","62,904","1,326,464",,
Europe,Iceland,"1,806",10,"1,794",2,,"5,295",29,"61,122","179,211","341,061",,
Europe,Lithuania,"1,675",70,"1,236",369,17,615,26,"302,859","111,140","2,725,022",,
Europe,Slovakia,"1,521",28,"1,366",127,,279,5,"172,601","31,615","5,459,433",,
Europe,Slovenia,"1,473",108,"1,358",7,2,709,52,"79,897","38,432","2,078,915",,
Europe,Albania,"1,137",33,872,232,4,395,11,"14,723","5,116","2,878,043",,
Europe,Latvia,"1,066",24,745,297,3,565,13,"109,071","57,779","1,887,728",,
Europe,Andorra,764,51,694,19,4,"9,889",660,"3,750","48,541","77,255",,
Europe,San Marino,671,42,357,272,1,"19,779","1,238","4,466","131,643","33,925",,
Europe,Malta,618,9,534,75,1,"1,400",20,"69,025","156,360","441,449",,
Europe,Channel Islands,560,45,515,0,,"3,223",259,"10,255","59,029","173,729",,
Europe,Isle of Man,336,24,309,3,,"3,953",282,"4,892","57,556","84,996",,
Europe,Montenegro,324,9,315,0,,516,14,"10,167","16,188","628,060",,
Europe,Faeroe Islands,187,,187,0,,"3,828",,"9,677","198,104","48,848",,
Europe,Gibraltar,170,,149,21,,"5,046",,"7,632","226,523","33,692",,
Europe,Monaco,99,4,90,5,1,"2,524",102,,,"39,219",,
Europe,Liechtenstein,82,1,55,26,,"2,151",26,900,"23,610","38,119",,
Europe,Vatican City,12,,2,10,,"14,981",,,,801,,
North America,USA,"1,837,170","106,195","599,867","1,131,108","17,075","5,553",321,"17,702,273","53,506","330,843,477",,
North America,Canada,"90,947","7,295","48,879","34,773","1,641","2,411",193,"1,665,831","44,169","37,714,510",,
North America,Mexico,"87,512","9,779","61,871","15,862",378,679,76,"270,992","2,104","128,818,338",,
North America,Dominican Republic,"17,285",502,"10,559","6,224",110,"1,595",46,"81,647","7,533","10,838,750",,
North America,Panama,"13,463",336,"9,514","3,613",79,"3,125",78,"67,730","15,719","4,308,839",,
North America,Honduras,"5,094",201,536,"4,357",13,515,20,"14,790","1,495","9,890,844",,
North America,Guatemala,"4,739",102,706,"3,931",5,265,6,"31,427","1,757","17,886,146",,
North America,El Salvador,"2,517",46,"1,040","1,431",53,388,7,"89,358","13,782","6,483,535",,
North America,Cuba,"2,045",83,"1,809",153,3,181,7,"103,123","9,104","11,327,160",,
North America,Haiti,"1,865",41,24,"1,800",,164,4,"4,577",402,"11,390,662",,
North America,Costa Rica,"1,056",10,669,377,4,207,2,"26,622","5,230","5,090,223",,
North America,Nicaragua,759,35,370,354,,115,5,,,"6,617,838",,
North America,Jamaica,581,9,290,282,2,196,3,"12,389","4,185","2,960,117",,
North America,Martinique,200,14,98,88,,533,37,,,"375,288",,
North America,Guadeloupe,162,14,138,10,1,405,35,"4,137","10,339","400,119",,
North America,Cayman Islands,141,1,68,72,,"2,148",15,"11,139","169,657","65,656",,
North America,Bermuda,140,9,92,39,2,"2,247",144,"7,171","115,112","62,296",,
North America,Trinidad and Tobago,117,8,108,1,,84,6,"3,138","2,243","1,399,123",,
North America,Bahamas,102,11,48,43,1,260,28,"2,091","5,322","392,929",,
North America,Aruba,101,3,98,0,,946,28,"2,134","19,995","106,729",,
North America,Barbados,92,7,76,9,1,320,24,"5,434","18,911","287,347",,
North America,Sint Maarten,77,15,60,2,1,"1,798",350,461,"10,762","42,835",,
North America,Saint Martin,41,3,33,5,1,"1,062",78,614,"15,903","38,608",,
North America,Antigua and Barbuda,26,3,19,4,1,266,31,183,"1,870","97,861",,
North America,St. Vincent Grenadines,26,,15,11,,234,,593,"5,347","110,912",,
North America,Grenada,23,,18,5,4,204,,"3,007","26,733","112,481",,
North America,Curaçao,19,1,14,4,,116,6,572,"3,487","164,039",,
North America,Belize,18,2,16,0,,45,5,"1,572","3,960","396,989",,
North America,Saint Lucia,18,,18,0,,98,,"1,012","5,513","183,559",,
North America,Dominica,16,,16,0,,222,,433,"6,016","71,972",,
North America,Saint Kitts and Nevis,15,,15,0,,282,,396,"7,448","53,168",,
North America,Greenland,13,,11,2,,229,,"2,141","37,719","56,762",,
North America,Turks and Caicos,12,1,11,0,,310,26,129,"3,336","38,672",,
North America,Montserrat,11,1,10,0,,"2,204",200,61,"12,220","4,992",,
North America,British Virgin Islands,8,1,7,0,,265,33,167,"5,527","30,214",,
North America,Caribbean Netherlands,7,,7,0,,267,,424,"16,181","26,203",,
North America,St. Barth,6,,6,0,,608,,137,"13,873","9,875",,
North America,Anguilla,3,,3,0,,200,,41,"2,735","14,992",,
North America,Saint Pierre Miquelon,1,,1,0,,173,,,,"5,796",,
Asia,India,"190,609","5,408","91,852","93,349","8,944",138,4,"3,737,027","2,710","1,378,863,296",,
Asia,Turkey,"163,942","4,540","127,973","31,429",648,"1,946",54,"2,039,194","24,201","84,262,291",,
Asia,Iran,"151,466","7,797","118,848","24,821","2,527","1,805",93,"935,894","11,155","83,900,826",,
Asia,Saudi Arabia,"85,261",503,"62,442","22,316",384,"2,452",14,"822,769","23,666","34,766,601",,
Asia,China,"83,001","4,634","78,304",63,3,58,3,,,"1,439,323,776",,
Asia,Pakistan,"69,496","1,483","25,271","42,742",111,315,7,"547,030","2,481","220,509,385",,
Asia,Qatar,"56,910",38,"30,290","26,582",232,"19,783",13,"222,069","77,194","2,876,776",,
Asia,Bangladesh,"47,153",650,"9,781","36,722",1,287,4,"308,940","1,877","164,551,275",,
Asia,Singapore,"34,884",23,"21,699","13,162",8,"5,967",4,"334,691","57,246","5,846,520",,
Asia,UAE,"34,557",264,"17,932","16,361",1,"3,498",27,"2,110,493","213,608","9,880,208",,
Asia,Kuwait,"27,043",212,"11,386","15,445",200,"6,341",50,"290,013","67,997","4,265,091",,
Asia,Indonesia,"26,473","1,613","7,308","17,552",,97,6,"323,376","1,183","273,279,215",,
Asia,Philippines,"18,086",957,"3,909","13,220",73,165,9,"347,592","3,176","109,455,699",,
Asia,Israel,"17,071",285,"14,812","1,974",39,"1,856",31,"568,452","61,804","9,197,590",,
Asia,Japan,"16,851",891,"14,459","1,501",119,133,7,"290,436","2,296","126,506,424",,
Asia,Afghanistan,"15,205",257,"1,328","13,620",19,391,7,"38,460",990,"38,848,565",,
Asia,S. Korea,"11,468",270,"10,405",793,15,224,5,"910,822","17,767","51,265,682",,
Asia,Oman,"11,437",49,"2,682","8,706",31,"2,245",10,"101,084","19,841","5,094,596",,
Asia,Bahrain,"11,398",19,"6,673","4,706",12,"6,721",11,"314,823","185,651","1,695,780",,
Asia,Kazakhstan,"10,858",40,"5,404","5,414",62,579,2,"812,881","43,336","18,757,562",,
Asia,Armenia,"9,282",131,"3,386","5,765",10,"3,133",44,"58,065","19,598","2,962,800",,
Asia,Malaysia,"7,819",115,"6,353","1,351",9,242,4,"553,183","17,110","32,330,462",,
Asia,Iraq,"6,439",205,"3,156","3,078",36,160,5,"211,485","5,269","40,140,397",,
Asia,Azerbaijan,"5,494",63,"3,428","2,003",42,542,6,"294,264","29,044","10,131,531",,
Asia,Tajikistan,"3,930",47,"2,004","1,879",,413,5,,,"9,518,158",,
Asia,Uzbekistan,"3,623",15,"2,837",771,10,108,0.4,"460,000","13,761","33,427,196",,
Asia,Thailand,"3,081",57,"2,963",61,1,44,0.8,"375,453","5,380","69,785,922",,
Asia,Maldives,"1,773",5,453,"1,315",9,"3,285",9,"11,775","21,818","539,703",,
Asia,Kyrgyzstan,"1,748",16,"1,170",562,4,268,2,"111,859","17,170","6,514,756",,
Asia,Sri Lanka,"1,633",10,801,822,1,76,0.5,"63,935","2,987","21,405,965",,
Asia,Nepal,"1,572",8,220,"1,344",,54,0.3,"180,691","6,211","29,090,429",,
Asia,Lebanon,"1,220",27,712,481,3,179,4,"83,574","12,240","6,827,788",,
Asia,Hong Kong,"1,085",4,"1,037",44,2,145,0.5,"202,930","27,087","7,491,921",,
Asia,Cyprus,944,17,790,137,4,782,14,"117,411","97,305","1,206,632",,
Asia,Georgia,783,12,605,166,6,196,3,"56,987","14,283","3,989,764",,
Asia,Jordan,739,9,522,208,5,72,0.9,"187,990","18,440","10,194,610",,
Asia,Palestine,448,3,372,73,,88,0.6,"44,876","8,816","5,090,574",,
Asia,Taiwan,442,7,423,12,,19,0.3,"72,082","3,027","23,813,331",,
Asia,Vietnam,328,,279,49,1,3,,"275,000","2,827","97,265,308",,
Asia,Yemen,323,80,14,229,,11,3,120,4,"29,766,367",,
Asia,Myanmar,224,6,138,80,,4,0.1,"24,710",454,"54,379,727",,
Asia,Mongolia,179,,44,135,19,55,,"13,672","4,176","3,273,672",,
Asia,Brunei,141,2,138,1,1,323,5,"19,386","44,349","437,127",,
Asia,Cambodia,125,,123,2,1,7,,"20,406","1,222","16,699,008",,
Asia,Syria,122,5,46,71,,7,0.3,,,"17,461,550",,
Asia,Macao,45,,45,0,,69,,,,"648,573",,
Asia,Bhutan,43,,6,37,,56,,"17,038","22,102","770,888",,
Asia,Timor-Leste,24,,24,0,,18,,"1,290",980,"1,316,208",,
Asia,Laos,19,,16,3,,3,,"6,928",953,"7,266,416",,
South America,Brazil,"514,849","29,314","206,555","278,980","8,318","2,424",138,"930,013","4,378","212,434,518",,
South America,Peru,"164,476","4,506","67,208","92,762",988,"4,994",137,"1,058,874","32,153","32,932,217",,
South America,Chile,"99,688","1,054","42,727","55,907","1,383","5,219",55,"582,440","30,490","19,102,509",,
South America,Ecuador,"39,098","3,358","19,592","16,148",220,"2,219",191,"117,422","6,664","17,619,752",,
South America,Colombia,"29,383",939,"8,543","19,901",136,578,18,"319,779","6,290","50,837,039",,
South America,Argentina,"16,851",539,"5,336","10,976",259,373,12,"160,070","3,544","45,161,038",,
South America,Bolivia,"9,592",310,889,"8,393",3,823,27,"28,239","2,422","11,659,305",,
South America,Venezuela,"1,510",14,302,"1,194",3,53,0.5,"975,825","34,309","28,442,184",,
South America,Paraguay,986,11,477,498,2,138,2,"30,004","4,211","7,125,055",,
South America,Uruguay,823,22,685,116,5,237,6,"43,911","12,644","3,472,758",,
South America,French Guiana,499,1,200,298,2,"1,675",3,,,"297,963",,
South America,Guyana,153,12,70,71,2,195,15,"1,618","2,058","786,243",,
South America,Suriname,23,1,9,13,,39,2,782,"1,334","586,192",,
South America,Falkland Islands,13,,13,0,,"3,746",,503,"144,957","3,470",,
Africa,South Africa,"32,683",683,"16,809","15,191",128,552,12,"725,125","12,239","59,244,691",,
Africa,Egypt,"24,985",959,"6,037","17,989",41,245,9,"135,000","1,321","102,162,663",,
Africa,Nigeria,"10,162",287,"3,007","6,868",7,49,1,"60,825",296,"205,668,183",,
Africa,Algeria,"9,394",653,"5,748","2,993",23,215,15,,,"43,780,936",,
Africa,Ghana,"7,881",36,"2,841","5,004",5,254,1,"214,956","6,931","31,014,508",,
Africa,Morocco,"7,807",205,"5,459","2,143",18,212,6,"209,139","5,672","36,873,293",,
Africa,Cameroon,"5,904",191,"3,568","2,145",28,223,7,,,"26,484,855",,
Africa,Sudan,"5,026",286,"1,423","3,317",,115,7,401,9,"43,755,620",,
Africa,Guinea,"3,706",23,"2,030","1,653",24,283,2,"14,407","1,100","13,099,458",,
Africa,Senegal,"3,645",42,"1,801","1,802",14,218,3,"42,105","2,521","16,702,826",,
Africa,Djibouti,"3,354",24,"1,504","1,826",,"3,399",24,"26,366","26,720","986,755",,
Africa,DRC,"3,070",72,448,"2,550",,34,1,,,"89,301,493",,
Africa,Ivory Coast,"2,833",33,"1,435","1,365",,108,1,"27,039","1,027","26,318,014",,
Africa,Gabon,"2,655",17,722,"1,916",15,"1,195",8,"14,122","6,359","2,220,923",,
Africa,Somalia,"1,976",78,348,"1,550",2,125,5,,,"15,851,530",,
Africa,Kenya,"1,962",64,478,"1,420",7,37,1,"78,536","1,463","53,663,836",,
Africa,Mayotte,"1,699",21,"1,385",293,9,"6,242",77,"5,200","19,103","272,210",,
Africa,Equatorial Guinea,"1,306",12,200,"1,094",,934,9,"8,268","5,912","1,398,520",,
Africa,Mali,"1,265",77,716,472,,63,4,"3,483",172,"20,195,689",,
Africa,Guinea-Bissau,"1,256",8,42,"1,206",,640,4,"1,500",764,"1,963,739",,
Africa,Ethiopia,"1,172",11,209,952,4,10,0,"109,451",954,"114,700,869",,
Africa,Tunisia,"1,077",48,960,69,2,91,4,"51,881","4,394","11,808,177",,
Africa,Zambia,"1,057",7,779,271,1,58,0,"24,275","1,324","18,335,514",,
Africa,CAR,"1,011",2,23,986,,210,0,"15,021","3,115","4,822,363",,
Africa,South Sudan,994,10,6,978,,89,1,"3,356",300,"11,182,555",,
Africa,Niger,958,64,839,55,,40,3,"6,047",251,"24,120,048",,
Africa,Sierra Leone,861,46,454,361,,108,6,,,"7,962,417",,
Africa,Burkina Faso,847,53,720,74,,41,3,,,"20,849,535",,
Africa,Chad,778,65,491,222,,47,4,,,"16,381,333",,
Africa,Madagascar,771,6,168,597,8,28,0.2,"10,249",371,"27,624,966",,
Africa,Congo,611,20,179,412,,111,4,,,"5,505,568",,
Africa,Mauritania,530,23,27,480,,114,5,"7,654","1,650","4,638,278",,
Africa,Tanzania,509,21,183,305,7,9,0,,,"59,573,674",,
Africa,Sao Tome and Principe,483,12,68,403,,"2,208",55,175,800,"218,798",,
Africa,Réunion,471,1,411,59,1,526,1,"17,200","19,223","894,784",,
Africa,Togo,442,13,211,218,,54,2,"20,079","2,431","8,260,968",,
Africa,Cabo Verde,435,4,193,238,,783,7,"1,307","2,353","555,476",,
Africa,Uganda,417,,72,345,,9,,"96,825","2,123","45,602,136",,
Africa,Rwanda,370,1,256,113,,29,0,"66,976","5,183","12,922,594",,
Africa,Mauritius,335,10,322,3,,263,8,"116,937","91,961","1,271,600",,
Africa,Liberia,288,27,157,104,,57,5,,,"5,046,798",,
Africa,Eswatini,285,2,189,94,,246,2,"4,994","4,308","1,159,150",,
Africa,Malawi,284,4,42,238,1,15,0,"5,049",265,"19,084,049",,
Africa,Mozambique,254,2,91,161,,8,0,"10,878",349,"31,173,041",,
Africa,Benin,232,3,143,86,,19,0,"30,817","2,548","12,093,650",,
Africa,Zimbabwe,178,4,29,145,,12,0,"46,613","3,140","14,844,179",,
Africa,Libya,156,5,52,99,,23,1,"5,591",815,"6,863,245",,
Africa,Comoros,106,2,26,78,,122,2,,,"867,928",,
Africa,Angola,86,4,18,64,1,3,0.1,"10,000",305,"32,768,267",,
Africa,Burundi,63,1,33,29,,5,0,284,24,"11,857,105",,
Africa,Eritrea,39,,39,0,,11,,,,"3,542,188",,
Africa,Botswana,35,1,20,14,,15,0.4,"20,186","8,599","2,347,367",,
Africa,Gambia,25,1,20,4,,10,0,"1,756",729,"2,410,277",,
Africa,Namibia,24,,14,10,,9,,"3,680","1,451","2,536,830",,
Africa,Seychelles,11,,11,0,,112,,,,"98,297",,
Africa,Western Sahara,9,1,6,2,,15,2,,,"595,986",,
Africa,Lesotho,2,,1,1,,0.9,,283,132,"2,140,838",,
Oceania,Australia,"7,195",103,"6,614",478,4,0.9,,283,132,"2,140,838",,
Oceania,New Zealand,"1,504",,,"1,481",1,,282,4,"1,454,568","57,098","25,474,721",
Oceania,French Polynesia,60,,,,60,0,,301,4,"280,983","56,173","5,002,100"
Oceania,New Caledonia,19,,,,18,1,,214,,"4,040","14,389","280,775"
Oceania,Fiji,18,,,,15,3,,67,,"6,614","23,185","285,267"
,Papua New Guinea,8,,,,8,0,,20,,"2,431","2,713","895,908"
,,,,,,,,,0.9,,"2,402",269,"8,931,936"
